Isolate_ID	Initials_worker	Date_liq_culture	Past_growth_notes	Current_growth_notes	Dilution	Date_InhibPlate_inoc	Measure_day1	Measure_day2	Measure_day3	Max_inhib_zone	ColonyDescription_InhibPlate	ColonyDescription_Past	Description_match?	Sanger_name
13C	AA	2008-08-20	round 3 retry		Y	2008-12-20	no Bd lawn yet	"very light, fuzzy zone, but not super visible yet (lawn is growing slower than in the past)"	"2,3"	2.5	"white, smooth, shiny"			
17A	AA	2006-06-20		"correct, growing"	NA	7-13-20	no Bd lawn yet	"0, 0"	"0, 0"	0	"white, smooth"	"White, smooth growth, wide margins, typical structure"		"Arthrobacter oryzae strain KV-651 16S ribosomal RNA, partial sequence"
20A	AA	2008-08-20	should do trial on its own plate; round 3 retry		N	2008-12-20	no Bd lawn yet	"0,0"	"1,2 (very unclear edge, basically a gradient of inhibition for ~4-5 mm)"	1.5	"white, matte, smooth, edges lobate and shinier than middle"			
20C	AA	2008-08-20	round 3 retry		N	2008-12-20	no Bd lawn yet	"0,0"	"0,0"	0	"white, smooth thick center, undulate and clearer outer edge"			
20D	AA	2008-08-20	round 3 retry		N	2008-12-20	no Bd lawn yet	"0,0"	"0,0"	0	"white, granular, lobate edge"			
21A	AA	2008-08-20	round 3 retry		N (lower)	2008-12-20	no Bd lawn yet	"0,0"	"1,3"	2	"clear, slower growing, smooth, shiny"			
21C	AA	2006-06-20		"correct, growing"	NA	7-13-20	no Bd lawn yet	"0, 0"	"0, 0"	0	"cream, smooth"	"Transparent, granular growth, regular margins, thick structure"		"Serratia marcescens strain NBRC 102204 16S ribosomal RNA, partial sequence"
22C	AA	2008-08-20	round 3 retry		N (lower)	2008-12-20	no Bd lawn yet	"0,0"	"0,0"	0	"clear, very slow growing"			
23A	AA	2006-06-20			NA	7-13-20	no Bd lawn yet	"0, 0"	"0, 0"	0	"transparent, white, smooth"	"Transparent white-yellow, very gelatinous and adhesive, regular margins"		"Agreia pratensis strain P 229/10 16S ribosomal RNA, partial sequence"
23C	AA	2006-06-20			NA	7-13-20	no Bd lawn yet	"0, 0"	"0, 0"	0	transparent	"Transparent white, irregular margins, smooth growth, typical structure"		"Bacillus solisilvae strain NEAU-cbsb5 16S ribosomal RNA, partial sequence"
