IsolateID,g_sp,aveCV,aveInhibZonemm,medGrowthMidpoint,BiofilmFormer,Inhibitory
13C,Hafnia_alvei,0.253333333333333,2.5,11.8,TRUE,TRUE
17A,Arthrobacter_oryzae,0.165333333333333,0,14.11,TRUE,FALSE
17D,Methylobacterium_radiotolerans,0.152,NA,12.25,FALSE,NA
17F,Methylobacterium_longum,0.167,NA,0,TRUE,NA
17G,Mycolicibacterium_bacteremicum,0.164666666666667,NA,5.78,TRUE,NA
17J,Devriesea_agamarum,0.205,NA,7.6,TRUE,NA
17M,Epidermidibacterium_keratini,0.160333333333333,NA,10.72,TRUE,NA
19A,Pseudomonas_fluorescens,0.982666666666667,NA,9.31,TRUE,NA
20A,Bacillus_wiedmannii,1.59033333333333,1.5,14.38,TRUE,TRUE
20B,Pseudomonas_migulae,0.774666666666667,NA,13.18,TRUE,NA
20C,Buttiauxella_noackiae,0.947333333333333,0,9.19,TRUE,FALSE
20D,Chryseobacterium_aquaticum,0.192666666666667,5,8.82,TRUE,TRUE
21A,Paenibacillus_humicus,0.162666666666667,2,22.62,FALSE,TRUE
21C,Serratia_marcescens,0.250666666666667,0,7.12,TRUE,FALSE
22C,Methylobacterium_pseudosasicola,0.152333333333333,0,0,FALSE,FALSE
23C,Bacillus_solisilvae,0.167333333333333,0,27.25,FALSE,FALSE
23E,Yersinia_ruckeri,0.149666666666667,NA,12.63,FALSE,NA
23G,Sphingomonas_panacis,0.178333333333333,NA,17.08,TRUE,NA
23K,Paenibacillus_silagei,0.146333333333333,0,652.99,FALSE,FALSE
23L,Bacillus_circulans,0.153333333333333,0,11.44,FALSE,FALSE
24A,Variovorax_ginsengisoli,0.194666666666667,0,29.89,FALSE,FALSE
24B,Sphingomonas_faeni,0.722,NA,12.91,TRUE,NA
24C,Rahnella_aquatilis,0.44,0,8.74,TRUE,FALSE
24D,Viridibacillus_arvi,0.205,0,22.78,TRUE,FALSE
24G,Rhodococcus_fascians,0.294333333333333,0,19.55,TRUE,FALSE
24I,Sphingomonas_aerolata,0.171,NA,5.46,FALSE,NA
24J,Mucilaginibacter_polytrichastri,0.328666666666667,NA,13.93,FALSE,NA
24L,Mucilaginibacter_polytrichastri,0.167,0,10.03,TRUE,FALSE
25A,Pseudomonas_asturiensis,0.309333333333333,0,8.53,TRUE,FALSE
25B,Pseudomonas_weihenstephanensis,0.530333333333333,0,8.92,TRUE,FALSE
25C,Yersinia_kristensenii,0.206666666666667,0,8.03,TRUE,FALSE
25D,Bacillus_aryabhattai,0.138666666666667,0,14.67,FALSE,FALSE
25E,Microbacterium_lacus,0.156333333333333,0,6.77,FALSE,FALSE
26A,Bacillus_simplex,1.493,0,8.26,TRUE,FALSE
27A,Methylorubrum_pseudosasae,0.153,0,187.12,FALSE,FALSE
27B,Pseudomonas_graminis,0.435666666666667,0,19.2,TRUE,FALSE
27C,Microbacterium_lacus,0.15,NA,16.53,FALSE,NA
28B,Pseudomonas_migulae,0.323333333333333,0.5,8.58,TRUE,NA
29G,Paenibacillus_amylolyticus,0.156666666666667,5,11.85,FALSE,TRUE
2A,Pseudomonas_veronii,0.329333333333333,0.5,9.41,TRUE,NA
2E,Pseudomonas_lurida,0.549666666666667,1.5,7.5,TRUE,TRUE
2F,Pseudomonas_orientalis,1.302,10,7.33,TRUE,TRUE
2G,Curtobacterium_flaccumfaciens,0.160333333333333,NA,11.62,FALSE,NA
2H,Acinetobacter_radioresistens,0.182333333333333,2,10.64,TRUE,TRUE
30F,Variovorax_boronicumulans,0.186,3,0,FALSE,TRUE
30H,Sphingomonas_zeae,1.10966666666667,NA,8.96,TRUE,NA
31B,Serratia_rubidaea,0.219,4,18.95,FALSE,TRUE
