JarID	Random_number	JarID_rand	ExperimentNum	Media_source	Time_day	Rep	CV_plate_position	Fed_T0_in	Fed_T0_out	Fed_T2_in	Fed_T2_out	Fed_T4_in	Fed_T4_out	Fed_T7_in	Fed_T7_out	Fed_T12_in	Fed_T12_out	CFU_estimate_water	CFU_estimate_filter	CFU_estimate_tube	CV_raw	CV_adj	Richness
B_P2_T10-R3-OUT	1	Jar_1	B_P2	OUT	10	3	F4	0	100	0	100	0	100	0	100	NA	NA	6000000	7300000	1	0.379	0.324	0
B_P2_T6-R1-CON	2	Jar_2	B_P2	CON	6	1	A1	0	0	50	50	50	50	NA	NA	NA	NA	0	0	0	0.088	0.033	0
B_P2_T6-R1-OUT	3	Jar_3	B_P2	OUT	6	1	B1	0	100	0	100	0	100	NA	NA	NA	NA	91000000	1990000	0	0.288	0.233	0
B_P2_T10-R1-CON	4	Jar_4	B_P2	CON	10	1	C1	0	0	50	50	50	50	50	50	NA	NA	0	0	0	0.074	0.019	0
B_P2_T6-R3-OUT	5	Jar_5	B_P2	OUT	6	3	D1	0	100	0	100	0	100	NA	NA	NA	NA	21000000	5500000	0	0.235	0.18	0
B_P2_T10-R1-OUT	6	Jar_6	B_P2	OUT	10	1	E1	0	100	0	100	0	100	0	100	NA	NA	71000000	1510000	1	0.364	0.309	0
B_P2_T1-R1-IN	7	Jar_7	B_P2	IN	1	1	F1	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.069	0.014	0
B_P2_T14-R1-OUT	8	Jar_8	B_P2	OUT	14	1	G1	0	100	0	100	0	100	0	100	0	100	61000000	880000	1	0.084	0.029	0
B_P2_T3-R2-OUT	9	Jar_9	B_P2	OUT	3	2	H1	0	100	0	100	NA	NA	NA	NA	NA	NA	54000000	4300000	0	0.119	0.064	9
B_P2_T1-R2-IN	10	Jar_10	B_P2	IN	1	2	A2	100	0	NA	NA	NA	NA	NA	NA	NA	NA	200000	6000	0	0.083	0.028	2
B_P2_T14-R1-IN	11	Jar_11	B_P2	IN	14	1	B2	100	0	100	0	100	0	100	0	100	0	300000	25400000	1	1.04	0.985	0
B_P2_T10-R3-IN	12	Jar_12	B_P2	IN	10	3	C2	100	0	100	0	100	0	100	0	NA	NA	13300000	7000000	1	1.076	1.021	0
B_P2_T10-R1-IN	13	Jar_13	B_P2	IN	10	1	D2	100	0	100	0	100	0	100	0	NA	NA	20500000	10200000	1	0.631	0.576	0
B_P2_T1-R1-OUT	14	Jar_14	B_P2	OUT	1	1	E2	0	100	NA	NA	NA	NA	NA	NA	NA	NA	600000	NA	0	0.065	0.01	0
B_P2_T6-R2-IN	15	Jar_15	B_P2	IN	6	2	F2	100	0	100	0	100	0	NA	NA	NA	NA	60000000	9400000	0	0.431	0.376	0
B_P2_T3-R1-IN	16	Jar_16	B_P2	IN	3	1	G2	100	0	100	0	NA	NA	NA	NA	NA	NA	21700000	14400000	0	0.507	0.452	18
B_P2_T6-R1-IN	17	Jar_17	B_P2	IN	6	1	H2	100	0	100	0	100	0	NA	NA	NA	NA	60000000	15000000	1	0.4	0.345	0
B_P2_T6-R2-OUT	18	Jar_18	B_P2	OUT	6	2	A3	0	100	0	100	0	100	NA	NA	NA	NA	98000000	2020000	1	0.25	0.195	0
B_P2_T3-R3-IN	19	Jar_19	B_P2	IN	3	3	B3	100	0	100	0	NA	NA	NA	NA	NA	NA	24300000	14900000	0	0.785	0.73	12
B_P2_T6-R3-IN	20	Jar_20	B_P2	IN	6	3	C3	100	0	100	0	100	0	NA	NA	NA	NA	4200000	57000000	0	0.903	0.848	0
B_P2_T3-R1-OUT	21	Jar_21	B_P2	OUT	3	1	D3	0	100	0	100	NA	NA	NA	NA	NA	NA	74000000	14200000	1	0.194	0.139	6
B_P2_T10-R2-OUT	22	Jar_22	B_P2	OUT	10	2	E3	0	100	0	100	0	100	0	100	NA	NA	9100000	1600000	1	0.158	0.103	0
B_P2_T1-R1-CON	23	Jar_23	B_P2	CON	1	1	F3	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.059	0.004	0
B_P2_T3-R3-OUT	24	Jar_24	B_P2	OUT	3	3	G3	0	100	0	100	NA	NA	NA	NA	NA	NA	43000000	1190000	1	0.165	0.11	4
B_P2_T1-R3-IN	25	Jar_25	B_P2	IN	1	3	H3	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2000	0	0.053	-0.002	2
B_P2_T1-R2-OUT	26	Jar_26	B_P2	OUT	1	2	A4	0	100	NA	NA	NA	NA	NA	NA	NA	NA	300000	4000	0	0.081	0.026	3
B_P2_T3-R2-IN	27	Jar_27	B_P2	IN	3	2	B4	100	0	100	0	NA	NA	NA	NA	NA	NA	39000000	14800000	0	0.79	0.735	9
B_P2_T10-R2-IN	28	Jar_28	B_P2	IN	10	2	C4	100	0	100	0	100	0	100	0	NA	NA	2100000	2080000	1	0.76	0.705	0
B_P2_T1-R3-OUT	29	Jar_29	B_P2	OUT	1	3	D4	0	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	1000	0	0.076	0.021	1
B_P2_T3-R1-CON	30	Jar_30	B_P2	CON	3	1	E4	0	0	50	50	NA	NA	NA	NA	NA	NA	0	0	0	0.07	0.015	0
