TubeID	IsolateID	g_sp	Random_order	PlateID	WellID	plate_well	Replicate	row	col	cloudy	CV	growth_midpoint1	growth_midpoint2	growth_midpoint3
1	13C	Hafnia_alvei	58	1	G11	1_G11	1	G	11	2	0.186	9.62	11.8	0.32
1	13C	Hafnia_alvei	115	5	B5	5_B5	2	B	5	2	0.293	9.62	11.8	0.32
1	13C	Hafnia_alvei	59	6	C6	6_C6	3	C	6	2	0.281	9.62	11.8	0.32
2	17A	Arthrobacter_oryzae	75	2	C8	2_C8	1	C	8	2	0.17	12.96	53.11	14.11
2	17A	Arthrobacter_oryzae	61	4	B10	4_B10	2	B	10	2	0.152	12.96	53.11	14.11
2	17A	Arthrobacter_oryzae	34	5	F10	5_F10	3	F	10	2	0.174	12.96	53.11	14.11
3	17D	Methylobacterium_radiotolerans	39	1	F2	1_F2	1	F	2	0	0.14	54.79	12.25	0
3	17D	Methylobacterium_radiotolerans	121	5	B11	5_B11	2	B	11	0	0.169	54.79	12.25	0
3	17D	Methylobacterium_radiotolerans	120	7	C7	7_C7	3	C	7	0	0.147	54.79	12.25	0
4	17F	Methylobacterium_longum	60	2	B3	2_B3	1	B	3	0	0.154	6.71	0	0
4	17F	Methylobacterium_longum	39	3	F8	3_F8	2	F	8	0	0.176	6.71	0	0
4	17F	Methylobacterium_longum	4	5	C9	5_C9	3	C	9	0	0.171	6.71	0	0
5	17G	Mycolicibacterium_bacteremicum	107	2	F10	2_F10	1	F	10	0	0.17	0	5.78	9.13
5	17G	Mycolicibacterium_bacteremicum	71	4	C10	4_C10	2	C	10	0	0.169	0	5.78	9.13
5	17G	Mycolicibacterium_bacteremicum	89	6	F6	6_F6	3	F	6	0	0.155	0	5.78	9.13
6	17J	Devriesea_agamarum	124	3	B7	3_B7	2	B	7	2	0.245	8.05	11.92	7.6
6	17J	Devriesea_agamarum	2	3	B10	3_B10	2	B	10	2	0.2	8.05	11.92	7.6
6	17J	Devriesea_agamarum	82	6	E9	6_E9	3	E	9	2	0.17	8.05	11.92	7.6
7	17M	Epidermidibacterium_keratini	82	2	D5	2_D5	1	D	5	0	0.155	15.87	10.72	0
7	17M	Epidermidibacterium_keratini	4	3	C3	3_C3	2	C	3	0	0.167	15.87	10.72	0
7	17M	Epidermidibacterium_keratini	80	6	E7	6_E7	3	E	7	0	0.159	15.87	10.72	0
8	19A	Pseudomonas_fluorescens	94	2	E7	2_E7	1	E	7	2	0.894	7.96	9.82	9.31
8	19A	Pseudomonas_fluorescens	40	3	F9	3_F9	2	F	9	2	1.027	7.96	9.82	9.31
8	19A	Pseudomonas_fluorescens	31	5	F7	5_F7	3	F	7	2	1.027	7.96	9.82	9.31
9	20A	Bacillus_wiedmannii	16	1	C8	1_C8	1	C	8	2	1.603	6.42	11.1	14.38
9	20A	Bacillus_wiedmannii	13	3	D2	3_D2	2	D	2	2	1.329	6.42	11.1	14.38
9	20A	Bacillus_wiedmannii	6	5	C11	5_C11	3	C	11	2	1.839	6.42	11.1	14.38
10	20B	Pseudomonas_migulae	112	2	G5	2_G5	1	G	5	2	0.76	13.18	14.6	13.03
10	20B	Pseudomonas_migulae	114	5	B4	5_B4	2	B	4	2	0.915	13.18	14.6	13.03
10	20B	Pseudomonas_migulae	121	7	C8	7_C8	3	C	8	2	0.649	13.18	14.6	13.03
11	20C	Buttiauxella_noackiae	81	2	D4	2_D4	1	D	4	2	0.653	-0.46	9.19	9.35
