Row	Col	Content	OD600
A	1		0.139
B	1		0.143
C	1		0.158
D	1		0.148
E	1		0.14
F	1		0.139
G	1		0.135
H	1		0.125
A	2		0.145
B	2	2AB1	0.164
C	2	2PW2	0.305
D	2	2AB3	0.161
E	2	0AB2	0.138
F	2	3AB3	0.158
G	2	3PW1	0.344
H	2		0.125
A	3		0.147
B	3	2AB2	0.173
C	3	1PW2	0.321
D	3	3DI1	0.332
E	3	0DA1	0.14
F	3	0DI3	0.127
G	3	0AB1	0.127
H	3		0.124
A	4		0.154
B	4	1TR2	0.421
C	4	1TR3	0.386
D	4	0DA2	0.151
E	4	0DI1	0.14
F	4	3AB2	0.136
G	4	0PW2	0.131
H	4		0.119
A	5		0.149
B	5	2DI1	0.275
C	5	3DA3	0.171
D	5	3DA1	0.167
E	5	2DI2	0.245
F	5	3TR3	0.362
G	5	0AB3	0.144
H	5		0.134
A	6		0.146
B	6	1DA2	0.163
C	6	3AB1	0.153
D	6	0TR3	0.154
E	6	3TR2	0.386
F	6	1TR1	0.341
G	6	0PW3	0.15
H	6		0.127
A	7		0.139
B	7	3PW3	0.347
C	7	1PW3	0.303
D	7	2PW1	0.272
E	7	3DA2	0.158
F	7	2DA3	0.152
G	7	1DA3	0.159
H	7		0.125
A	8		0.149
B	8	1DI1	0.25
C	8	1AB3	0.178
D	8	0DA3	0.159
E	8	2TR1	0.343
F	8	0TR2	0.144
G	8	3PW2	0.354
H	8		0.117
A	9		0.143
B	9	0TR1	0.155
C	9	3DI2	0.323
D	9	1AB1	0.223
E	9	2DA2	0.163
F	9	1DA1	0.181
G	9	3TR1	0.361
H	9		0.114
A	10		0.134
B	10	2TR3	0.351
C	10	1PW1	0.278
D	10	0PW1	0.156
E	10	2TR2	0.357
F	10	1DI3	0.252
G	10	2DA1	0.161
H	10		0.129
A	11		0.14
B	11	1AB2	0.176
C	11	1DI2	0.258
D	11	0DI2	0.151
E	11	2DI3	0.253
F	11	2PW3	0.265
G	11	3DI3	0.305
H	11		0.126
A	12		0.144
B	12		0.149
C	12		0.151
D	12		0.148
E	12		0.132
F	12		0.145
G	12		0.139
H	12		0.124
