SampleID	TP	T_D	T_H	T_M	T_elapsed	i-o	Rep	A280
Diff-T0-A-I	0	0	7	10.00	10	I	A	1.273
Diff-T0-A-O	0	0	7	11.00	11	O	A	-0.009
Diff-T0-B-I	0	0	7	12.00	12	I	B	0.419
Diff-T0-B-O	0	0	7	13.00	13	O	B	-0.005
Diff-T0-C-I	0	0	7	14.00	14	I	C	1.862
Diff-T0-C-O	0	0	7	15.00	15	O	C	-0.016
Diff-T0-D-I	0	0	7	16.00	16	I	D	1.66
Diff-T0-D-O	0	0	7	16.00	16	O	D	-0.013
Diff-T1-A-I	1	0	8	1.00	61	I	A	0.489
Diff-T1-A-O	1	0	8	1.00	61	O	A	-0.056
Diff-T1-B-I	1	0	8	2.00	62	I	B	0.486
Diff-T1-B-O	1	0	8	3.00	63	O	B	-0.025
Diff-T1-C-I	1	0	8	4.00	64	I	C	1.517
Diff-T1-C-O	1	0	8	4.00	64	O	C	-0.037
Diff-T1-D-I	1	0	8	5.00	65	I	D	1.742
Diff-T1-D-O	1	0	8	6.00	66	O	D	-0.01
Diff-T3-A-I	3	0	10	2.00	182	I	A	0.71
Diff-T3-A-O	3	0	10	3.00	183	O	A	0.026
Diff-T3-B-I	3	0	10	4.00	184	I	B	1.004
Diff-T3-B-O	3	0	10	5.00	185	O	B	0.035
Diff-T3-C-I	3	0	10	6.00	186	I	C	1.597
Diff-T3-C-O	3	0	10	6.00	186	O	C	0.029
Diff-T3-D-I	3	0	10	7.00	187	I	D	1.291
Diff-T3-D-O	3	0	10	8.00	188	O	D	0.029
Diff-T6-A-I	6	0	13	2.00	362	I	A	0.896
Diff-T6-A-O	6	0	13	3.00	363	O	A	0.063
Diff-T6-B-I	6	0	13	4.00	364	I	B	0.89
Diff-T6-B-O	6	0	13	5.00	365	O	B	0.068
Diff-T6-C-I	6	0	13	5.00	365	I	C	1.14
Diff-T6-C-O	6	0	13	6.00	366	O	C	0.055
Diff-T6-D-I	6	0	13	7.00	367	I	D	0.824
Diff-T6-D-O	6	0	13	8.00	368	O	D	0.063
Diff-T9-A-I	9	0	16	4.00	544	I	A	0.479
Diff-T9-A-O	9	0	16	5.00	545	O	A	0.084
Diff-T9-B-I	9	0	16	5.00	545	I	B	0.667
Diff-T9-B-O	9	0	16	6.00	546	O	B	0.078
Diff-T9-C-I	9	0	16	7.00	547	I	C	0.857
Diff-T9-C-O	9	0	16	7.00	547	O	C	0.074
Diff-T9-D-I	9	0	16	8.00	548	I	D	0.64
Diff-T9-D-O	9	0	16	8.00	548	O	D	0.082
Diff-T12-A-I	12	0	19	15.00	735	I	A	0.584
Diff-T12-A-O	12	0	19	15.00	735	O	A	0.104
Diff-T12-B-I	12	0	19	21.00	741	I	D	0.536
Diff-T12-B-O	12	0	19	17.00	737	O	B	0.102
Diff-T12-C-I	12	0	19	18.00	738	I	B	0.659
Diff-T12-C-O	12	0	19	19.00	739	O	C	0.088
Diff-T12-D-I	12	0	19	19.00	739	I	C	0.495
Diff-T12-D-O	12	0	19	20.00	740	O	D	0.103
Diff-T24-A-I	24	1	7	5.00	1445	I	A	0.347
Diff-T24-A-O	24	1	7	5.00	1445	O	A	0.114
Diff-T24-B-I	24	1	7	6.00	1446	I	B	0.315
Diff-T24-B-O	24	1	7	7.00	1447	O	B	0.112
Diff-T24-C-I	24	1	7	8.00	1448	I	C	0.411
Diff-T24-C-O	24	1	7	8.00	1448	O	C	0.111
Diff-T24-D-I	24	1	7	9.00	1449	I	D	0.309
Diff-T24-D-O	24	1	7	10.00	1450	O	D	0.107
Diff-T36-A-I	36	1	19	59.00	2219	I	A	0.242
Diff-T36-A-O	36	1	19	0.00	2160	O	A	0.104
Diff-T36-B-I	36	1	19	0.00	2160	I	B	0.222
Diff-T36-B-O	36	1	19	1.00	2161	O	B	0.117
Diff-T36-C-I	36	1	19	1.00	2161	I	C	0.266
Diff-T36-C-O	36	1	19	2.00	2162	O	C	0.107
Diff-T36-D-I	36	1	19	2.00	2162	I	D	0.249
Diff-T36-D-O	36	1	19	3.00	2163	O	D	0.107
Diff-T48-A-I	48	2	6	46.00	2866	I	A	0.187
Diff-T48-A-O	48	2	6	46.00	2866	O	A	0.126
Diff-T48-B-I	48	2	6	47.00	2867	I	B	0.152
Diff-T48-B-O	48	2	6	48.00	2868	O	B	0.147
Diff-T48-C-I	48	2	6	49.00	2869	I	C	0.233
Diff-T48-C-O	48	2	6	49.00	2869	O	C	0.118
Diff-T48-D-I	48	2	6	50.00	2870	I	D	0.22
Diff-T48-D-O	48	2	6	51.00	2871	O	D	0.126
Diff-T60-A-I	60	2	18	37.00	3577	I	A	0.198
Diff-T60-A-O	60	2	18	38.00	3578	O	A	0.126
Diff-T60-B-I	60	2	18	38.00	3578	I	B	0.193
Diff-T60-B-O	60	2	18	39.00	3579	O	B	0.12
Diff-T60-C-I	60	2	18	40.00	3580	I	C	0.198
Diff-T60-C-O	60	2	18	40.00	3580	O	C	0.112
Diff-T60-D-I	60	2	18	41.00	3581	I	D	0.191
Diff-T60-D-O	60	2	18	42.00	3582	O	D	0.124
Diff-T128-A-I	128	5	15	44.00	7724	I	A	0.214
Diff-T128-A-O	128	5	15	45.00	7725	O	A	0.156
Diff-T128-B-I	128	5	15	46.00	7726	I	B	0.171
Diff-T128-B-O	128	5	15	46.00	7726	O	B	0.135
Diff-T128-C-I	128	5	15	47.00	7727	I	C	0.171
Diff-T128-C-O	128	5	15	48.00	7728	O	C	0.155
Diff-T128-D-I	128	5	15	48.00	7728	I	D	0.181
Diff-T128-D-O	128	5	15	49.00	7729	O	D	0.141
