IsolateID	Jar_20Jar_9	Jar_25Jar_28	Jar_23Jar_27	Jar_24Jar_10	Jar_14Jar_18	Jar_21Jar_16	Jar_19Jar_7	Jar_11Jar_4	Jar_3Jar_17	Jar_26Jar_13	Jar_5Jar_1	Jar_8Jar_6	Jar_12Jar_22	Jar_2Jar_15	volPerMl
37E	0	0	0	0	0	0	0	0.196850393700787	0.0590551181102362	0.0590551181102362	0	0.590551181102362	0	0	0.147637795275591
50A	0	0	0	0	0	0	0.662251655629138	0.662251655629138	0.198675496688742	0.198675496688742	0	0	0	0	0.496688741721854
37H	0	0	0	0	0	0	0	2.75862068965517	0.827586206896552	0.827586206896552	0	0	0	0	2.06896551724138
34F	0	0	0	0	0	0	0	0	0.147420147420147	0.147420147420147	0	0	0	0	0.368550368550368
35A	0	0	0	0	0	0	0	0	0	0.171428571428571	0	0	0	0	0.428571428571428
20A	0	0	0	0	0	0	0	0	0	0.131434830230011	0	0	0	0	0.328587075575027
33B	0	0	0	0	0	0	0	0	0	0.390879478827362	0	0	0	0	0.977198697068404
34B	0	0	0	0	0	0	0	0	0.164383561643836	0.164383561643836	0	0	0	0	0.410958904109589
13C	0	0	0	0	0	0	0.545702592087312	0	0.163710777626194	0.163710777626194	1.63710777626194	0	0	0	0.409276944065484
32E	0	0	0	0	0	0	0	0	0.118226600985222	0.118226600985222	0	0	0	0	0.295566502463054
50B	0	0	0	0	0	0	3.30578512396694	0	0.991735537190083	0	0	0	0	0	2.47933884297521
35E	0	0	0	0	0	0	0	0	7.50000000000005	0	0	0	0	0	18.7500000000001
2H	0	0	0	0	0	0	0	0	0.32967032967033	0	0	0	0	0	0.824175824175824
25A	0.429645542427497	0.429645542427497	0.128893662728249	0.128893662728249	0	1.28893662728249	0	0	0	0	0	0	0	0	0.322234156820623
32G	0	0.264375413086583	0	0.0793126239259749	0	0	0	0	0	0	0	0	0	0	0.198281559814937
20D	0	0.36697247706422	0	0.110091743119266	0	0	0	0	0	0	0	0	0	0	0.275229357798165
24D	0	0	0	0.0963081861958267	0	0	0	0	0	0	0	0	0	0	0.240770465489567
54G	0	0	0.0665188470066519	0.0665188470066519	0	0	0	0	0	0	0	0	0	0	0.16629711751663
47C	0	0	0.127253446447508	0.127253446447508	0	0	0	0	0	0	0	0	0	0	0.31813361611877
36G	0	0	0	0.0799467021985343	0	0	0	0	0	0	0	0	0	0	0.199866755496336
35B	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	1
40A	0	0	0.46875	0.46875	0	0	0	0	0	0	0	0	0	0	1.171875
BTB_59	0	0	0.125260960334029	0.125260960334029	0	0	0	0	0	0	0	0	0	0	0.313152400835073
36E	3.1496062992126	0	0.94488188976378	0	9.4488188976378	0	0	0	0	0	0	0	0	0	2.36220472440945
20C	0.424178154825026	0	0.127253446447508	0	0	0	0	0	0	0	0	0	0	0	0.31813361611877
BTB_28	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	1
36A	0	0	0.0599400599400599	0	0	0	0	0	0	0	0	0	0	0	0.14985014985015
21C	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	1
Water	-0.0034299964651181	2.9390065674217	1.15124768733221	2.31766382804396	-5.4488188976378	2.71106337271751	-0.513739371683389	0.382277261014905	-6.50046377623139	1.62719921014313	2.36289222373806	3.40944881889764	4	4	NA
