IsolateID	Jar_20Jar_9	Jar_25Jar_28	Jar_23Jar_27	Jar_24Jar_10	Jar_14Jar_18	Jar_21Jar_16	Jar_19Jar_7	Jar_11Jar_4	Jar_3Jar_17	Jar_26Jar_13	Jar_5Jar_1	Jar_8Jar_6	Jar_12Jar_22	Jar_2Jar_15	volPerMl
37E	0	0	0	0	0	0	0	0.393700787	0.059055118	0.059055118	0	0.590551181	0	0	0.147637795
50A	0	0	0	0	0	0	0.662251656	1.324503311	0.198675497	0.198675497	0	0	0	0	0.496688742
37H	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.068965517
34F	0	0	0	0	0	0	0	0	0.147420147	0.147420147	0	0	0	0	0.368550369
35A	0	0	0	0	0	0	0	0	0	0.171428571	0	0	0	0	0.428571429
20A	0	0	0	0	0	0	0	0	0	0.13143483	0	0	0	0	0.328587076
33B	0	0	0	0	0	0	0	0	0	0.390879479	0	0	0	0	0.977198697
34B	0	0	0	0	0	0	0	0	0.164383562	0.164383562	0	0	0	0	0.410958904
13C	0	0	0	0	0	0	0.545702592	0	0.163710778	0.163710778	1.637107776	0	0	0	0.409276944
32E	0	0	0	0	0	0	0	0	0.118226601	0.118226601	0	0	0	0	0.295566502
50B	0	0	0	0	0	0	2.792045752	0	0.991735537	0	0	0	0	0	2.479338843
35E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.75
2H	0	0	0	0	0	0	0	0	0.32967033	0	0	0	0	0	0.824175824
25A	0.859291085	0.429645542	0.257787325	0.128893663	0	1.288936627	0	0	0	0	0	0	0	0	0.322234157
32G	0	0.264375413	0	0.079312624	0	0	0	0	0	0	0	0	0	0	0.19828156
20D	0	0.366972477	0	0.110091743	0	0	0	0	0	0	0	0	0	0	0.275229358
24D	0	0	0	0.096308186	0	0	0	0	0	0	0	0	0	0	0.240770465
54G	0	0	0.133037694	0.066518847	0	0	0	0	0	0	0	0	0	0	0.166297118
47C	0	0	0.254506893	0.127253446	0	0	0	0	0	0	0	0	0	0	0.318133616
36G	0	0	0	0.079946702	0	0	0	0	0	0	0	0	0	0	0.199866755
35B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
40A	0	0	0.9375	0.46875	0	0	0	0	0	0	0	0	0	0	1.171875
BTB_59	0	0	0.250521921	0.12526096	0	0	0	0	0	0	0	0	0	0	0.313152401
36E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.362204724
20C	0.84835631	0	0.254506893	0	1.272534464	0	0	0	0	0	0	0	0	0	0.318133616
BTB_28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
36A	0	0	0.11988012	0	0	0	0	0	0	0	0	0	0	0	0.14985015
21C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Water	3.625685939	2.939006567	3.392259154	2.317663828	2.727465536	2.711063373	0	3.615129235	1.027122431	2.329773508	2.362892224	3.409448819	4	4	NA
