IsolateID	g_sp	Inhibitory	L1	L2	L3
13C	Hafnia_alvei	Inhib	NA	NA	10
13C	Hafnia_alvei	Inhib	1	3	10
20A	Bacillus_wiedmannii	Inhib	NA	NA	10
20C	Buttiauxella_noackiae	Non	NA	3	10
20D	Chryseobacterium_aquaticum	Non	NA	3	10
21C	Serratia_marcescens	Non	NA	NA	10
24D	Viridibacillus_arvi	Non	NA	NA	10
25A	Pseudomonas_asturiensis	Non	1	3	10
25A	Pseudomonas_asturiensis	Non	NA	3	10
2H	Acinetobacter_radioresistens	Inhib	NA	NA	10
32E	Pseudomonas_mucidolens	Inhib	NA	NA	10
32E	Pseudomonas_mucidolens	Inhib	NA	NA	10
32G	Stenotrophomonas_pavanii	Non	NA	3	10
33B	Stenotrophomonas_maltophilia	Inhib	NA	NA	10
34B	Pseudomonas_brenneri	Inhib	NA	NA	10
34B	Pseudomonas_brenneri	Inhib	NA	NA	10
34F	Collimonas_arenae	Inhib	NA	NA	10
34F	Collimonas_arenae	Inhib	NA	NA	10
35A	Phyllobacterium_myrsinacearum	Inhib	NA	NA	10
35B	Frondihabitans_peucedani	Non	NA	NA	10
35E	Pseudomonas_chlororaphis	Inhib	NA	NA	10
36A	Rhodococcus_fascians	Non	NA	NA	10
36E	Methylobacterium_mesophilicum	Non	1	3	10
36G	Arthrobacter_citreus	Non	NA	NA	10
37E	Microbacterium_chocolatum	Inhib	1	3	10
37E	Microbacterium_chocolatum	Inhib	NA	NA	10
37H	Paenibacillus_xylanexedens	Inhib	NA	3	10
37H	Paenibacillus_xylanexedens	Inhib	NA	NA	10
40A	Microbacterium_deminutum	Non	NA	NA	10
40A	Microbacterium_deminutum	Non	NA	NA	10
47C	Kocuria_rhizophila	Non	NA	NA	10
47C	Kocuria_rhizophila	Non	NA	NA	10
50A	Delftia_acidovorans	Inhib	NA	3	10
50A	Delftia_acidovorans	Inhib	NA	3	10
50B	Chryseobacterium_lactis	Inhib	NA	3	10
54G	Serratia_fonticola	Non	NA	NA	10
54G	Serratia_fonticola	Non	NA	NA	10
BTB_28	Comamonas_piscis	Non	NA	NA	10
BTB_59	Pseudomonas_lactis	Non	NA	NA	10
BTB_59	Pseudomonas_lactis	Non	NA	NA	10
