IsolateID	Row	Column	OD
BTB_45	A	1	0.282
BTB_47	B	1	0.202
34F	C	1	0.146
35E	D	1	0.304
50B	E	1	0.17
32E	F	1	0.318
20C	G	1	0.293
2H	H	1	0.237
2H	A	2	0.211
35A	B	2	0.395
32G	C	2	0.504
TRYP	D	2	0.142
40A	E	2	0.166
TRYP	F	2	0.146
TRYP	G	2	0.138
2F	H	2	0.22
2E	A	3	0.136
47C	B	3	0.339
50B	C	3	0.239
25C	D	3	0.325
13C	E	3	0.301
36E	F	3	0.143
35A	G	3	0.362
24D	H	3	0.377
40A	A	4	0.163
33D	B	4	0.461
47C	C	4	0.307
32E	D	4	0.365
24L	E	4	0.416
20C	F	4	0.3
24C	G	4	0.174
35B	H	4	0.149
49C	A	5	0.364
20D	B	5	0.324
35E	C	5	0.339
24D	D	5	0.401
33D	E	5	0.406
2E	F	5	0.168
33B	G	5	0.364
54G	H	5	0.371
BTB_45	A	6	0.381
25C	B	6	0.311
37E	C	6	0.267
35B	D	6	0.228
BTB_28	E	6	0.409
40B	F	6	0.162
54G	G	6	0.394
50A	H	6	0.241
13C	A	7	0.3
34F	B	7	0.174
40B	C	7	0.164
32G	D	7	0.484
20D	E	7	0.322
24L	F	7	0.425
49C	G	7	0.346
50A	H	7	0.308
37E	A	8	0.239
2F	B	8	0.266
33B	C	8	0.466
24C	D	8	0.179
36E	E	8	0.141
BTB_47	F	8	0.229
BTB_28	G	8	0.386
			
