IsolateID	aveOD	volPerMl
13C	0.1585	0.315457413249211
20C	0.1545	0.323624595469256
20D	0.181	0.276243093922652
24C	0.0345	1.44927536231884
24D	0.247	0.202429149797571
24L	0.2785	0.179533213644524
25C	0.176	0.284090909090909
2E	0.01	4.99999999999998
2F	0.101	0.495049504950495
2H	0.082	0.609756097560976
32E	0.1995	0.25062656641604
32G	0.352	0.142045454545455
33B	0.273	0.183150183150183
33D	0.2915	0.171526586620926
34F	0.018	2.77777777777778
35A	0.2365	0.211416490486258
35B	0.0465	1.0752688172043
35E	0.1795	0.278551532033426
36E	0	Inf
37E	0.111	0.45045045045045
40A	0.0225	2.22222222222222
40B	0.021	2.38095238095238
47C	0.181	0.276243093922652
49C	0.213	0.234741784037559
50A	0.1325	0.377358490566038
50B	0.0625	0.8
54G	0.2405	0.207900207900208
BTB_28	0.2555	0.195694716242661
BTB_45	0.1895	0.263852242744063
BTB_47	0.0735	0.680272108843537
