SampleID	JarID	RichLevel	Rep	Type	DateStart	Inhibitory	plate_bdinhib	BTB_47	33B	50A	32E	2E	2H	13C	50B	35A	BTB_45	34F	33D	35E	2F	37E	24L	40A	24D	24C	49C	35B	20D	BTB_28	25C	20C	47C	36E	32G	54G	40B	CV_raw	CV	Bd_n	volPellet	cClean
Con_2020-08-31_0_Rep1	7	0	Rep1	Bd	2020-08-31	Con	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	TRUE
Con_2020-08-31_0_Rep1	15	0	Rep1	CV	2020-08-31	Con	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	TRUE
Con_2020-08-31_0_Rep2	10	0	Rep2	CV	2020-08-31	Con	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	TRUE
Con_2020-08-31_0_Rep2	19	0	Rep2	Bd	2020-08-31	Con	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	TRUE
Inhib_2020-08-31_1_Rep1	9	1	Rep1	CV	2020-08-31	Inhib		TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	TRUE
Inhib_2020-08-31_1_Rep1	23	1	Rep1	Bd	2020-08-31	Inhib		TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	TRUE
Inhib_2020-08-31_1_Rep2	6	1	Rep2	Bd	2020-08-31	Inhib		NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	TRUE
Inhib_2020-08-31_1_Rep2	14	1	Rep2	CV	2020-08-31	Inhib		NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	TRUE
Inhib_2020-08-31_10_Rep1	22	10	Rep1	Bd	2020-08-31	Inhib		TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	TRUE
Inhib_2020-08-31_10_Rep1	27	10	Rep1	CV	2020-08-31	Inhib		TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	TRUE
