IsolateID	g_sp	aveCV	aveInhibZonemm	medGrowthMidpoint	BiofilmFormer	Inhibitory	randomOrder	L0	Rep	DateStart	RichNames	RichLevel
13C	Hafnia_alvei	0.253333333333333	2.5	11.8	TRUE	Inhib	8	NA	Rep1	2020-08-31	L1	NA
13C	Hafnia_alvei	0.253333333333333	2.5	11.8	TRUE	Inhib	8	NA	Rep1	2020-08-31	L2	NA
13C	Hafnia_alvei	0.253333333333333	2.5	11.8	TRUE	Inhib	8	NA	Rep1	2020-08-31	L3	10
20C	Buttiauxella_noackiae	0.947333333333333	0	9.19	TRUE	Non	10	NA	Rep1	2020-08-31	L1	NA
20C	Buttiauxella_noackiae	0.947333333333333	0	9.19	TRUE	Non	10	NA	Rep1	2020-08-31	L2	NA
20C	Buttiauxella_noackiae	0.947333333333333	0	9.19	TRUE	Non	10	NA	Rep1	2020-08-31	L3	10
20C	Buttiauxella_noackiae	0.947333333333333	0	9.19	TRUE	Non	7	NA	Rep2	2020-08-31	L1	NA
20C	Buttiauxella_noackiae	0.947333333333333	0	9.19	TRUE	Non	7	NA	Rep2	2020-08-31	L2	NA
20C	Buttiauxella_noackiae	0.947333333333333	0	9.19	TRUE	Non	7	NA	Rep2	2020-08-31	L3	10
20D	Chryseobacterium_aquaticum	0.192666666666667	0	8.82	TRUE	Non	7	NA	Rep1	2020-08-31	L1	NA
20D	Chryseobacterium_aquaticum	0.192666666666667	0	8.82	TRUE	Non	7	NA	Rep1	2020-08-31	L2	NA
20D	Chryseobacterium_aquaticum	0.192666666666667	0	8.82	TRUE	Non	7	NA	Rep1	2020-08-31	L3	10
20D	Chryseobacterium_aquaticum	0.192666666666667	0	8.82	TRUE	Non	3	NA	Rep2	2020-08-31	L1	NA
20D	Chryseobacterium_aquaticum	0.192666666666667	0	8.82	TRUE	Non	3	NA	Rep2	2020-08-31	L2	3
20D	Chryseobacterium_aquaticum	0.192666666666667	0	8.82	TRUE	Non	3	NA	Rep2	2020-08-31	L3	10
24C	Rahnella_aquatilis	0.44	0	8.74	TRUE	Non	4	NA	Rep1	2020-08-31	L1	NA
24C	Rahnella_aquatilis	0.44	0	8.74	TRUE	Non	4	NA	Rep1	2020-08-31	L2	NA
24C	Rahnella_aquatilis	0.44	0	8.74	TRUE	Non	4	NA	Rep1	2020-08-31	L3	10
24C	Rahnella_aquatilis	0.44	0	8.74	TRUE	Non	1	NA	Rep2	2020-08-31	L1	1
24C	Rahnella_aquatilis	0.44	0	8.74	TRUE	Non	1	NA	Rep2	2020-08-31	L2	3
24C	Rahnella_aquatilis	0.44	0	8.74	TRUE	Non	1	NA	Rep2	2020-08-31	L3	10
