IsolateID	Jar_1	Jar_2	Jar_3	Jar_4	Jar_5	Jar_6	Jar_7	Jar_8	Jar_9	Jar_10	Jar_11	Jar_12	Jar_13	Jar_14	volPerMl
50A	0	0.251572327	0	0.251572327	0.754716981	0	0.075471698	0	0	0	0	0.075471698	0	0.754716981	0.377358491
37E	0	0.225988701	0	0.225988701	0	0	0.06779661	0	0	0	0	0.06779661	0	0	0.338983051
34F	0	0.2002002	0	0.2002002	0	0	0.06006006	0	0	0	0	0.06006006	0	0	0.3003003
37H	0	0	0	0	0	0	0.070175439	0	0	0	0	0.070175439	0	0	0.350877193
34B	0	0	0	0	0	0	0.0625	0	0	0	0	0.0625	0	0	0.3125
2H	0	0	0	0	0	0	0.065359477	0	0	0	0	0.065359477	0	0	0.326797386
2E	0	0	0	0	0	0	0.047961631	0	0	0	0	0.047961631	0	0	0.239808153
45D	0	0	0	0	0	0	0.089285714	0	0	0	0	0.089285714	0	0	0.446428571
33D	0	0	0	0	0	0	0.045351474	0	0	0	0	0.045351474	0	0	0.22675737
2F	0	0	0	0	0	0	0.06514658	0	0	0	0	0.06514658	0	0	0.325732899
26A	0.188679245	0	0.628930818	0	0	0.628930818	0	1.886792453	1.886792453	0	0	0	0.188679245	0	0.943396226
35F	0.06006006	0	0.2002002	0	0	0.2002002	0	0	0	0	0	0	0.06006006	0	0.3003003
32G	0.055710306	0	0.185701021	0	0	0.185701021	0	0	0	0	0	0	0.055710306	0	0.278551532
47C	0.046948357	0	0	0	0	0	0	0	0	0	0	0	0.046948357	0	0.234741784
45E	0.061728395	0	0	0	0	0	0	0	0	0	0	0	0.061728395	0	0.308641975
40A	0.238095238	0	0	0	0	0	0	0	0	0	0	0	0.238095238	0	1.19047619
36B	0.14084507	0	0	0	0	0	0	0	0	0	0	0	0.14084507	0	0.704225352
35C	0.135135135	0	0	0	0	0	0	0	0	0	0	0	0.135135135	0	0.675675676
36I	0.0625	0	0	0	0	0	0	0	0	0	0	0	0.0625	0	0.3125
25C	0.035650624	0	0	0	0	0	0	0	0	0	0	0	0.035650624	0	0.178253119
Water	0.974647569	1.322238772	0.985167961	1.322238772	1.245283019	0.985167961	1.350891317	0.113207547	0.113207547	2	2	1.350891317	0.974647569	1.245283019	NA
