IsolateID	g_sp	Inhibitory	L1	L2	L3
25C	Yersinia_kristensenii	Non	NA	NA	10
26A	Bacillus_simplex	Non	1	3	10
2E	Pseudomonas_lurida	Inhib	NA	NA	10
2F	Pseudomonas_orientalis	Inhib	NA	NA	10
2H	Acinetobacter_radioresistens	Inhib	NA	NA	10
32G	Stenotrophomonas_pavanii	Non	NA	3	10
33D	Methylorubrum_extorquens	Inhib	NA	NA	10
34B	Pseudomonas_brenneri	Inhib	NA	NA	10
34F	Collimonas_arenae	Inhib	NA	3	10
35C	Bacillus_mycoides	Non	NA	NA	10
35F	Yonghaparkia_alkaliphila	Non	NA	3	10
36B	Plantibacter_flavus	Non	NA	NA	10
36I	Microvirga_subterranea	Non	NA	NA	10
37E	Microbacterium_chocolatum	Inhib	NA	3	10
37H	Paenibacillus_xylanexedens	Inhib	NA	NA	10
40A	Microbacterium_deminutum	Non	NA	NA	10
45D	Rahnella_inusitata	Inhib	NA	NA	10
45E	Obesumbacterium_proteus	Non	NA	NA	10
47C	Kocuria_rhizophila	Non	NA	NA	10
50A	Delftia_acidovorans	Inhib	1	3	10
