IsolateID	Row	Column	OD
47C	A	1	0.392
25C	B	1	0.321
2F	C	1	0.126
36I	D	1	0.259
37H	E	1	0.309
TRYP	F	1	0.12
2E	G	1	0.119
34B	H	1	0.261
2H	A	2	0.301
32G	B	2	0.369
TRYP	C	2	0.145
35F	D	2	0.137
34F	E	2	0.154
36B	F	2	0.166
37E	G	2	0.309
45E	H	2	0.32
35C	A	3	0.182
26A	B	3	0.189
40A	C	3	0.145
50A	D	3	0.217
2E	E	3	0.115
40A	F	3	0.135
36B	G	3	0.156
45D	H	3	0.267
TRYP	A	4	0.133
34F	B	4	0.176
36I	C	4	0.269
33D	D	4	0.241
33D	E	4	0.273
26A	F	4	0.208
35C	G	4	0.184
35F	H	4	0.11
47C	A	5	0.348
37E	B	5	0.3
25C	C	5	0.308
37H	D	5	0.309
45E	E	5	0.333
34B	F	5	0.284
2F	G	5	0.105
32G	H	5	0.297
45D	A	6	0.274
2H	B	6	0.296
50A	C	6	0.206
2F_WRONG	D	6	0.178
2F_WRONG	E	6	0.186
