IsolateID	Jar_3Jar_6	Jar_13Jar_1	Jar_9Jar_8	Jar_4Jar_2	Jar_7Jar_12	Jar_14Jar_5	Jar_11Jar_10	volPerMl
50A	0	0	0	0.845665961945031	0.25369978858351	2.5369978858351	0	0.634249471458774
37E	0	0	0	0.387972841901067	0.11639185257032	0	0	0.2909796314258
34F	0	0	0	2.06185567010309	0.618556701030928	0	0	1.54639175257732
37H	0	0	0	0	0.113421550094518	0	0	0.283553875236295
34B	0	0	0	0	0.143027413587604	0	0	0.357568533969011
2H	0	0	0	0	0.120603015075377	0	0	0.301507537688442
2E	0	0	0	0	0.4	0	0	1
45D	0	0	0	0	0.145102781136638	0	0	0.362756952841596
33D	0	0	0	0	0.160857908847185	0	0	0.402144772117962
2F	0	0	0	0	0.405405405405405	0	0	1.01351351351351
26A	1.0126582278481	0.30379746835443	3.0379746835443	0	0	0	0	0.759493670886076
35F	1.33333333333333	0.4	0	0	0	0	0	1
32G	0.332778702163061	0.0998336106489185	0	0	0	0	0	0.249584026622296
47C	0	0.0842696629213483	0	0	0	0	0	0.210674157303371
45E	0	0.103181427343078	0	0	0	0	0	0.257953568357696
40A	0	2.72727272727272	0	0	0	0	0	6.8181818181818
36B	0	0.705882352941176	0	0	0	0	0	1.76470588235294
35C	0	0.397350993377483	0	0	0	0	0	0.993377483443708
36I	0	0.152284263959391	0	0	0	0	0	0.380710659898477
25C	0	0.109990834097159	0	0	0	0	0	0.274977085242896
NA	1.32122973665551	-1.0838633409157	0.962025316455697	0.704505526050812	1.52293358366851	1.4630021141649	4	NA
