IsolateID	Jar_20Jar_2	Jar_14Jar_13	Jar_16Jar_6	Jar_4Jar_21	Jar_27Jar_28	Jar_8Jar_25	Jar_19Jar_26	Jar_1Jar_15	Jar_7Jar_10	Jar_17Jar_11	Jar_23Jar_24	Jar_18Jar_5	Jar_22Jar_9	Jar_12Jar_3	volPerMl
45D	0	0	0	0	0	0	0	0.486026731	0.145808019	0.145808019	0	1.458080194	0	0	0.364520049
13C	0	0	0	0	0	0	0.835073068	0.417536534	0.12526096	0.12526096	1.252609604	0	0	0	0.313152401
BTB_45	0	0	0	0	0	0	0	0.229357798	0	0.068807339	0	0	0	0	0.172018349
35A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
50A	0	0	0	0	0	0	0	0	0	0.154241645	0	0	0	0	0.385604113
33B	0	0	0	0	0	0	0	0	0	0.066298343	0	0	0	0	0.165745856
37E	0	0	0	0	0	0	0	0	0	0.594059406	0	0	0	0	1.485148515
2F	0	0	0	0	0	0	0	0	0.09942005	0.09942005	0	0	0	0	0.248550124
50B	0	0	0	0	0	0	0	0	1.100917431	1.100917431	0	0	0	0	2.752293578
2E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
35E	0	0	0	0	0	0	0.635930048	0	0.095389507	0	0	0	0	0	0.238473768
2H	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
34F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
34B	0	0	0	0	0	0	0	0	0.112254443	0	0	0	0	0	0.280636109
20A	0	0	0	0	0	0	0	0	0.12526096	0	0	0	0	0	0.313152401
37H	0	0	0	0	0	0	0	0	0.463320463	0	0	0	0	0	1.158301158
49C	0	1.005025126	0.150753769	0.150753769	0	1.507537688	0	0	0	0	0	0	0	0	0.376884422
BTB_59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
45E	0	0.662800332	0.09942005	0.09942005	0	0	0	0	0	0	0	0	0	0	0.248550124
36A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.108108108
24L	0	0	0	0.087847731	0	0	0	0	0	0	0	0	0	0	0.219619327
20D	0	0	0	0.083798883	0	0	0	0	0	0	0	0	0	0	0.209497207
24D	0	0	0.111317254	0.111317254	0	0	0	0	0	0	0	0	0	0	0.278293135
54G	0	0	0.137299771	0.137299771	0	0	0	0	0	0	0	0	0	0	0.343249428
47C	0	0	0	0.100671141	0	0	0	0	0	0	0	0	0	0	0.251677852
21C	0.76555024	0	0.114832536	0.114832536	0	0	0	0	0	0	0	0	0	0	0.28708134
32G	0.411311054	0	0.061696658	0	0.616966581	0	0	0	0	0	0	0	0	0	0.154241645
40B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.092783505
20C	0	0	0.1875	0	0	0	0	0	0	0	0	0	0	0	0.46875
36G	0	0	0.073891626	0	0	0	0	0	0	0	0	0	0	0	0.184729064
40A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Water	4.156472039	3.665507875	2.263288336	2.314058865	3.383033419	2.492462312	3.862330217	2.867078936	0.932368167	0.845186807	2.747390396	2.541919806	4	4	NA
