SampleID	JarID	RichLevel	Rep	Type	DateStart	Inhibitory	cClean	33B	32E	2H	33D	37E	37H	BTB_45	45D	20A	34F	BTB_47	34B	2E	2F	21C	54G	49C	25C	24D	45E	25A	20C	BTB_59	40B	36G	36A	36E	40A	35B	CV_raw	CV	Bd_n
Con_2020-09-19_0_Rep7	14	0	Rep7	CV	2020-09-19	Con	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Con_2020-09-19_0_Rep7	17	0	Rep7	Bd	2020-09-19	Con	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Con_2020-09-19_0_Rep8	9	0	Rep8	CV	2020-09-19	Con	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Con_2020-09-19_0_Rep8	11	0	Rep8	Bd	2020-09-19	Con	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Inhib_2020-09-19_1_Rep7	15	1	Rep7	Bd	2020-09-19	Inhib	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Inhib_2020-09-19_1_Rep7	20	1	Rep7	CV	2020-09-19	Inhib	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Inhib_2020-09-19_1_Rep8	3	1	Rep8	Bd	2020-09-19	Inhib	TRUE	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Inhib_2020-09-19_1_Rep8	12	1	Rep8	CV	2020-09-19	Inhib	TRUE	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Inhib_2020-09-19_10_Rep7	5	10	Rep7	CV	2020-09-19	Inhib	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Inhib_2020-09-19_10_Rep7	19	10	Rep7	Bd	2020-09-19	Inhib	TRUE	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Inhib_2020-09-19_10_Rep8	4	10	Rep8	CV	2020-09-19	Inhib	TRUE	TRUE	NA	NA	TRUE	TRUE	TRUE	TRUE	NA	TRUE	NA	TRUE	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Inhib_2020-09-19_10_Rep8	24	10	Rep8	Bd	2020-09-19	Inhib	TRUE	TRUE	NA	NA	TRUE	TRUE	TRUE	TRUE	NA	TRUE	NA	TRUE	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Inhib_2020-09-19_3_Rep7	10	3	Rep7	CV	2020-09-19	Inhib	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Inhib_2020-09-19_3_Rep7	13	3	Rep7	Bd	2020-09-19	Inhib	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Inhib_2020-09-19_3_Rep8	16	3	Rep8	Bd	2020-09-19	Inhib	TRUE	NA	NA	NA	TRUE	NA	TRUE	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Inhib_2020-09-19_3_Rep8	25	3	Rep8	CV	2020-09-19	Inhib	TRUE	NA	NA	NA	TRUE	NA	TRUE	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Non_2020-09-19_1_Rep7	26	1	Rep7	CV	2020-09-19	Non	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
