IsolateID	Row	Column	OD
54G	A	1	0.353
BTB_45	B	1	0.309
20A	C	1	0.25
34B	D	1	0.312
36G	E	1	0.39
25A	F	1	0.286
BTB_59	G	1	0.222
TRYP	H	1	0.144
20C	A	2	0.26
BTB_59	B	2	0.26
20C	C	2	0.236
TRYP	D	2	0.145
47C	E	2	0.339
54G	F	2	0.376
25C	G	2	0.343
35A	H	2	0.252
20A	A	3	0.259
35A	B	3	0.28
45D	C	3	0.295
24D	D	3	0.379
24C	E	3	0.134
45D	F	3	0.276
33D	G	3	0.322
32E	H	3	0.247
25A	A	4	0.302
35B	B	4	0.174
25C	C	4	0.348
2H	D	4	0.212
33D	E	4	0.335
2H	F	4	0.195
36G	G	4	0.375
45E	H	4	0.317
34B	A	5	0.297
2E	B	5	0.311
40A	C	5	0.219
50B	D	5	0.213
32E	E	5	0.279
BTB_45	F	5	0.285
50B	G	5	0.169
13C	H	5	0.314
24C	A	6	0.196
35E	B	6	0.179
40A	C	6	0.222
36E	D	6	0.152
TRYP	E	6	0.133
50A	F	6	0.249
13C	G	6	0.256
47C	H	6	0.297
35E	A	7	0.18
33B	B	7	0.23
50A	C	7	0.271
24D	D	7	0.37
32G	E	7	0.376
2E	F	7	0.269
33B	G	7	0.207
35B	H	7	0.145
45E	A	8	0.355
32G	B	8	0.396
36E	C	8	0.153
