IsolateID	Row	Column	OD	
54G	A	1	0.14	0.353
BTB_45	B	1	0.149	0.309
20A	C	1	0.144	0.25
34B	D	1	0.375	0.312
36G	E	1	0.336	0.39
25A	F	1	0.272	0.286
BTB_59	G	1	0.206	0.222
TRYP	H	1	0.301	0.144
20C	A	2	0.408	0.26
BTB_59	B	2	0.442	0.26
20C	C	2	0.207	0.236
TRYP	D	2	0.168	0.145
47C	E	2	0.277	0.339
54G	F	2	0.245	0.376
25C	G	2	0.128	0.343
35A	H	2	0.111	0.252
20A	A	3	0.145	0.259
35A	B	3	0.378	0.28
45D	C	3	0.352	0.295
24D	D	3	0.195	0.379
24C	E	3	0.334	0.134
45D	F	3	0.41	0.276
33D	G	3	0.136	0.322
32E	H	3	0.112	0.247
25A	A	4	0.283	0.302
35B	B	4	0.232	0.174
25C	C	4	0.374	0.348
2H	D	4	0.361	0.212
33D	E	4	0.362	0.335
2H	F	4	0.13	0.195
36G	G	4	0.127	0.375
45E	H	4	0.322	0.317
34B	A	5	0.138	0.297
2E	B	5	0.293	0.311
40A	C	5	0.35	0.219
50B	D	5	0.357	0.213
32E	E	5	0.141	0.279
BTB_45	F	5	0.225	0.285
50B	G	5	0.297	0.169
13C	H	5	0.358	0.314
24C	A	6	0.322	0.196
35E	B	6	0.159	0.179
40A	C	6	0.383	0.222
36E	D	6	0.195	0.152
TRYP	E	6	0.144	0.133
50A	F	6	0.345	0.249
13C	G	6	0.199	0.256
47C	H	6	0.26	0.297
35E	A	7	0.161	0.18
33B	B	7	0.284	0.23
50A	C	7	0.348	0.271
24D	D	7	0.458	0.37
32G	E	7	0.159	0.376
2E	F	7	0.175	0.269
33B	G	7	0.109	0.207
35B	H	7	0.113	0.145
45E	A	8	0.265	0.355
32G	B	8	0.136	0.396
36E	C	8	0.289	0.153
