IsolateID	Jar_26Jar_28	Jar_27Jar_10	Jar_20Jar_2	Jar_6Jar_22	Jar_12Jar_19	Jar_1Jar_21	Jar_7Jar_8	Jar_25Jar_4	Jar_13Jar_9	Jar_3Jar_5	Jar_14Jar_17	Jar_16Jar_18	Jar_15Jar_11	Jar_23Jar_24	volPerMl
35A	0	0	0	0	0	0	0.531914893617021	0	0.159574468085106	0.159574468085106	1.59574468085106	0	0	0	0.398936170212766
34B	0	0	0	0	0	0	0.406917599186164	0	0.122075279755849	0.122075279755849	0	0	0	0	0.305188199389624
BTB_45	0	0	0	0	0	0	0.426439232409381	0.426439232409381	0.127931769722815	0.127931769722815	0	0	0	0	0.319829424307036
2E	0	0	0	0	0	0	0	0	0.133928571428571	0	0	0	0	0	0.334821428571428
32E	0	0	0	0	0	0	0	0.544959128065394	0.163487738419619	0.163487738419619	0	1.63487738419619	0	0	0.408719346049046
50A	0	0	0	0	0	0	0	0	0.167597765363129	0	0	0	0	0	0.418994413407821
45D	0	0	0	0	0	0	0	0	0.138089758342923	0.138089758342923	0	0	0	0	0.345224395857307
33D	0	0	0	0	0	0	0	0	0.106477373558119	0	0	0	0	0	0.266193433895297
2H	0	0	0	0	0	0	0	0	0.318302387267904	0	0	0	0	0	0.795755968169761
20A	0	0	0	0	0	0	0	0	0.175695461200586	0.175695461200586	0	0	0	0	0.439238653001464
35E	0	0	0	0	0	0	0	1.71673819742489	0	0.515021459227468	0	0	0	0	1.28755364806867
13C	0	0	0	0	0	0	0	0	0	0.138568129330254	0	0	0	0	0.346420323325635
33B	0	0	0	0	0	0	0	0	0	0.256959314775161	0	0	0	0	0.642398286937901
50B	0	0	0	0	0	0	0	0	0	0.397350993377483	0	0	0	0	0.993377483443708
54G	0.297840655249441	0	0.0893521965748325	0.0893521965748325	0.893521965748325	0	0	0	0	0	0	0	0	0	0.223380491437081
40A	0.835073068893527	0.835073068893527	0.250521920668058	0.250521920668058	0	2.50521920668058	0	0	0	0	0	0	0	0	0.626304801670146
BTB_59	0.664451827242524	0.664451827242524	0.199335548172758	0.199335548172758	0	0	0	0	0	0	0	0	0	0	0.498338870431894
36G	0	0	0.0827015851137147	0	0	0	0	0	0	0	0	0	0	0	0.206753962784287
24D	0	0	0.0855310049893086	0	0	0	0	0	0	0	0	0	0	0	0.213827512473272
47C	0	0	0.112781954887218	0.112781954887218	0	0	0	0	0	0	0	0	0	0	0.281954887218045
36E	0	0	1.69014084507042	0	0	0	0	0	0	0	0	0	0	0	4.22535211267606
20C	0	0	0.186335403726708	0	0	0	0	0	0	0	0	0	0	0	0.46583850931677
25C	0	0	0.097640358014646	0.097640358014646	0	0	0	0	0	0	0	0	0	0	0.244100895036615
25A	0	0	0.130434782608696	0.130434782608696	0	0	0	0	0	0	0	0	0	0	0.326086956521739
32G	0	0.271739130434782	0	0.0815217391304348	0	0	0	0	0	0	0	0	0	0	0.203804347826087
35B	0	0	0	1.06194690265487	0	0	0	0	0	0	0	0	0	0	2.65486725663717
24C	0	0	0	0.821917808219178	0	0	0	0	0	0	0	0	0	0	2.05479452054794
45E	0	0	0	0.102389078498294	0	0	0	0	0	0	0	0	0	0	0.255972696245734
Water	2.20263444861451	2.22873597342917	1.07522440017364	1.05215771057102	3.10647803425168	1.49478079331942	2.63472827478743	1.31186344210033	2.38683942685538	1.80524562776274	2.40425531914894	2.36512261580381	4	4	NA
