IsolateID	g_sp	aveCV	aveInhibZonemm	medGrowthMidpoint	BiofilmFormer	Inhibitory	randomOrder	L0	Rep	DateStart	RichNames	RichLevel
13C	Hafnia_alvei	0.253333333	2.5	11.8	TRUE	Inhib	6	NA	Rep10	2020-09-28	L1	NA
13C	Hafnia_alvei	0.253333333	2.5	11.8	TRUE	Inhib	6	NA	Rep10	2020-09-28	L2	NA
13C	Hafnia_alvei	0.253333333	2.5	11.8	TRUE	Inhib	6	NA	Rep10	2020-09-28	L3	10
20A	Bacillus_wiedmannii	1.590333333	1.5	14.38	TRUE	Inhib	10	NA	Rep9	2020-09-28	L1	NA
20A	Bacillus_wiedmannii	1.590333333	1.5	14.38	TRUE	Inhib	10	NA	Rep9	2020-09-28	L2	NA
20A	Bacillus_wiedmannii	1.590333333	1.5	14.38	TRUE	Inhib	10	NA	Rep9	2020-09-28	L3	10
20A	Bacillus_wiedmannii	1.590333333	1.5	14.38	TRUE	Inhib	10	NA	Rep10	2020-09-28	L1	NA
20A	Bacillus_wiedmannii	1.590333333	1.5	14.38	TRUE	Inhib	10	NA	Rep10	2020-09-28	L2	NA
20A	Bacillus_wiedmannii	1.590333333	1.5	14.38	TRUE	Inhib	10	NA	Rep10	2020-09-28	L3	10
20C	Buttiauxella_noackiae	0.947333333	0	9.19	TRUE	Non	8	NA	Rep9	2020-09-28	L1	NA
20C	Buttiauxella_noackiae	0.947333333	0	9.19	TRUE	Non	8	NA	Rep9	2020-09-28	L2	NA
20C	Buttiauxella_noackiae	0.947333333	0	9.19	TRUE	Non	8	NA	Rep9	2020-09-28	L3	10
24C	Rahnella_aquatilis	0.44	0	8.74	TRUE	Non	7	NA	Rep10	2020-09-28	L1	NA
24C	Rahnella_aquatilis	0.44	0	8.74	TRUE	Non	7	NA	Rep10	2020-09-28	L2	NA
24C	Rahnella_aquatilis	0.44	0	8.74	TRUE	Non	7	NA	Rep10	2020-09-28	L3	10
24D	Viridibacillus_arvi	0.205	0	22.78	TRUE	Non	5	NA	Rep9	2020-09-28	L1	NA
24D	Viridibacillus_arvi	0.205	0	22.78	TRUE	Non	5	NA	Rep9	2020-09-28	L2	NA
24D	Viridibacillus_arvi	0.205	0	22.78	TRUE	Non	5	NA	Rep9	2020-09-28	L3	10
25A	Pseudomonas_asturiensis	0.309333333	0	8.53	TRUE	Non	10	NA	Rep9	2020-09-28	L1	NA
25A	Pseudomonas_asturiensis	0.309333333	0	8.53	TRUE	Non	10	NA	Rep9	2020-09-28	L2	NA
25A	Pseudomonas_asturiensis	0.309333333	0	8.53	TRUE	Non	10	NA	Rep9	2020-09-28	L3	10
25A	Pseudomonas_asturiensis	0.309333333	0	8.53	TRUE	Non	5	NA	Rep10	2020-09-28	L1	NA
25A	Pseudomonas_asturiensis	0.309333333	0	8.53	TRUE	Non	5	NA	Rep10	2020-09-28	L2	NA
25A	Pseudomonas_asturiensis	0.309333333	0	8.53	TRUE	Non	5	NA	Rep10	2020-09-28	L3	10
25C	Yersinia_kristensenii	0.206666667	0	8.03	TRUE	Non	9	NA	Rep9	2020-09-28	L1	NA
25C	Yersinia_kristensenii	0.206666667	0	8.03	TRUE	Non	9	NA	Rep9	2020-09-28	L2	NA
