SampleID	JarID	RichLevel	introRich	Rep	DateStart	Inhibitory	Type	13C	20A	2E	2F	2H	32E	33B	33D	34B	34F	35A	35E	37E	37H	45D	50A	50B	BTB_45	BTB_47	20C	20D	21C	24C	24D	24L	25A	25C	32G	35B	36A	36E	36G	40A	40B	45E	47C	49C	54G	BTB_28	BTB_59	volPellet	cClean	sampleID_qPCR
Con_2020-08-31_0_Rep1	7	0	0	Rep1	2020-08-31	Con	Bd	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	TRUE	R1_J7_Bd
Con_2020-08-31_0_Rep1	15	0	0	Rep1	2020-08-31	Con	CV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	TRUE	R1_J15_Pre
Inhib_2020-08-31_1_Rep1	23	1	1	Rep1	2020-08-31	Inhib	Bd	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	TRUE	R1_J23_Bd
Inhib_2020-08-31_1_Rep1	9	1	1	Rep1	2020-08-31	Inhib	CV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	TRUE	R1_J9_Pre
Inhib_2020-08-31_3_Rep1	4	3	3	Rep1	2020-08-31	Inhib	Bd	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	TRUE	R1_J4_Bd
Inhib_2020-08-31_3_Rep1	8	3	3	Rep1	2020-08-31	Inhib	CV	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	TRUE	R1_J8_Pre
Inhib_2020-08-31_10_Rep1	22	10	9	Rep1	2020-08-31	Inhib	Bd	TRUE	NA	TRUE	NA	TRUE	TRUE	TRUE	NA	NA	NA	TRUE	NA	NA	NA	NA	TRUE	TRUE	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	TRUE	R1_J22_Bd
Inhib_2020-08-31_10_Rep1	27	10	9	Rep1	2020-08-31	Inhib	CV	TRUE	NA	TRUE	NA	TRUE	TRUE	TRUE	NA	NA	NA	TRUE	NA	NA	NA	NA	TRUE	TRUE	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	TRUE	R1_J27_Pre
Non_2020-08-31_1_Rep1	21	1	1	Rep1	2020-08-31	Non	Bd	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	TRUE	R1_J21_Bd
Non_2020-08-31_1_Rep1	1	1	1	Rep1	2020-08-31	Non	CV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	FALSE	R1_J1_Pre
Non_2020-08-31_3_Rep1	16	3	3	Rep1	2020-08-31	Non	Bd	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	1	TRUE	R1_J16_Bd
Non_2020-08-31_3_Rep1	24	3	3	Rep1	2020-08-31	Non	CV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	1	TRUE	R1_J24_Pre
Non_2020-08-31_10_Rep1	26	10	9	Rep1	2020-08-31	Non	Bd	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	NA	NA	TRUE	TRUE	NA	TRUE	NA	TRUE	NA	NA	NA	TRUE	NA	NA	NA	TRUE	NA	TRUE	NA	1	TRUE	R1_J26_Bd
Non_2020-08-31_10_Rep1	5	10	9	Rep1	2020-08-31	Non	CV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	NA	NA	TRUE	TRUE	NA	TRUE	NA	TRUE	NA	NA	NA	TRUE	NA	NA	NA	TRUE	NA	TRUE	NA	1	TRUE	R1_J5_Pre
Con_2020-09-28_0_Rep10	23	0	0	Rep10	2020-09-28	Con	Bd	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	R10_J23_Bd
