SampleID	sampleID_qPCR	introRich	obsRich	ASV_1a536b0e1f97503816f150ed89839a0f	ASV_255429c75a0f47d5a30c6ac429fa7c34	ASV_f13bd5edd93cef613314f42915c99a6f	ASV_14c6f745ca3896169903ea6ea03d48ac	ASV_033fc14444cc93f82f6464968d72c6b2	ASV_dcba105f35d8ebc9e22269c7491ad3a7	ASV_fa0bfc5b671a0016df8fd1840f314bab	ASV_e97345e9d12e47c8712c8a693016d65e	ASV_d32e579b3ae7b2aae8d5bf9f027c29af	ASV_5648dccee530d68ceb3e4d7d22cf8756	ASV_d5d20ebebb0eb375a078ec82b47a50ec	ASV_945184b6386c192c0066e0a98a154780	ASV_4850a238b7fbbd5ffa204c5a5a396f2c	ASV_205d983fc6a77838d0c5f28ea5485c28	ASV_3481fa43fe5fba6aecdc7f9aae6ed9c0	ASV_8b9ede8e4455abbacd8d8d787eb6383d	ASV_3bb0bf5132b0f988573de9bd6059b22c	ASV_63afe8e6aac58bf0d670a82ca5bc574c	ASV_4ea59d33f520370432fb7cb625b56c12	ASV_38c27ceaed634984c1225a82648cf571	ASV_f8aeec3c1ff0f4e7e1c829e4db0618d9	ASV_bdf8a26094624622d68509a87fa75ba7	ASV_6a42f6b31b1958a4fd7c015ad7affbf4	ASV_e61a7bc42a30f0ca4f170b5e3f6cad0c	ASV_43fddf1528d4a98928fd8c3a8ac23bfd	ASV_213f59ff91f42554a6570145dbeff3da	ASV_5746145cd6809625dd78c312e6605cb4	ASV_ec2d6318d95da4328567972cc10eb066	ASV_bc56a7361c9a3b49f1f1c51874321e12	ASV_fb67b286b0f781b0de13d50179318995	ASV_ffcce969599b117e0566b6767fe78b55	ASV_9f10ad79c9fd3d0d6a7b41cae19cf1f4	ASV_b65fae1900c461356f7ec33239edf811	ASV_7f499b98f8da9b1f9b8d10791ea2db91	ASV_f39b145cd0896489db3646d0d26bd418	ASV_43292d77db4e71f520bc2661f373b05f	ASV_44a162f21fda1420467bd353f5c67211	ASV_52106e22009423eaaa64743e6cdfe659	ASV_93234676188a71a3d96809c07dfbec21	ASV_4ce0d715d312a473a37ab09124cf0f34	ASV_c30ea0ffd45e89a13edc0ab8fb15c2f6	ASV_2615d9840911b76cdd3db2dd7817b53e	ASV_8e86630f5236d005b75249185d4e2d08	ASV_922f741ee774d85fd38a26312d4e9dda	ASV_d4575b9e7e37002f0d041ea717fb8a06	ASV_dd18c11c9ae50bd4f90b015e8c78de58	ASV_82dece6e35540738ba450a0c3a90b5a0	ASV_1bc599cac5647c5c30496e93ca551557	REMOVE_SEQCONTAM	ASV_a0a6a2bfc50e87cf99e385b7384f8019	ASV_4cec258429289d8463d0d5f42a7a4cad	ASV_180843d213d81292129ca7501d19904c	ASV_5e5652fbc2332a8189559dec86869b7c	ASV_d69e2e7690e0766c9832eafd079bc99c
Con_2020-08-31_0_Rep1	R1_J15_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inhib_2020-08-31_1_Rep1	R1_J9_Pre	1	3	0	0	0	0	0	6771	6124	0	22480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inhib_2020-08-31_3_Rep1	R1_J8_Pre	3	3	0	0	0	0	0	265292	193627	0	9360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inhib_2020-08-31_10_Rep1	R1_J27_Pre	9	10	0	2468	3968	2291	11631	233868	208588	14917	3545	197558	4036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Non_2020-08-31_1_Rep1	R1_J1_Pre	1	1	1475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Non_2020-08-31_3_Rep1	R1_J24_Pre	3	1	14503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Non_2020-08-31_10_Rep1	R1_J5_Pre	9	8	0	0	0	0	0	89779	0	0	0	0	0	13133	5361	2342	61271	7194	78740	13021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Con_2020-09-28_0_Rep10	R10_J24_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inhib_2020-09-28_1_Rep10	R10_J18_Pre	1	1	0	0	0	0	0	0	0	0	0	294189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inhib_2020-09-28_3_Rep10	R10_J4_Pre	3	3	0	0	0	0	0	0	0	0	0	23741	0	0	0	0	0	0	0	0	0	38385	1819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inhib_2020-09-28_10_Rep10	R10_J5_Pre	10	5	0	0	0	0	0	0	0	0	0	140227	0	0	0	0	0	0	0	2706	0	14213	0	1710	7473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Non_2020-09-28_1_Rep10	R10_J21_Pre	1	3	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	13	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Non_2020-09-28_3_Rep10	R10_J10_Pre	3	3	0	0	0	0	0	1038187	0	0	0	168274	0	0	0	0	0	0	0	0	3979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Non_2020-09-28_10_Rep10	R10_J22_Pre	10	5	0	0	0	0	0	490035	0	0	0	145372	0	0	11612	0	8055	0	0	160374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Con_2020-10-05_0_Rep11	R11_J15_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inhib_2020-10-05_1_Rep11	R11_J6_Pre	1	1	0	0	0	0	0	0	0	0	0	144500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inhib_2020-10-05_3_Rep11	R11_J4_Pre	2	2	0	0	0	0	0	0	65664	0	0	100374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inhib_2020-10-05_10_Rep11	R11_J13_Pre	9	2	0	0	0	0	0	0	104914	0	0	238919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Non_2020-10-05_1_Rep11	R11_J16_Pre	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Non_2020-10-05_3_Rep11	R11_J28_Pre	3	3	0	0	0	0	0	49957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252078	42589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Non_2020-10-05_10_Rep11	R11_J10_Pre	9	4	0	0	0	0	0	417963	0	0	0	82550	0	0	0	0	0	0	0	209678	0	0	0	0	0	624974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Con_2020-10-05_0_Rep12	R12_J22_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inhib_2020-10-05_1_Rep12	R12_J1_Pre	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
