ASVID	Taxon	ScientificName_unique
0c579d21280801f02a641e1608606927	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae; g__Micrococcus	g__Micrococcus_unknown
5df390383de1546795d7c52202910504	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__SC-I-84; g__SC-I-84	g__SC-I-84_unknown
9ac3bb1d7dedb08a012692a6f536b5af	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas	g__Sphingomonas_unknown.3
36ba3496c18e5080628561481ce259a7	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__R7C24; f__R7C24; g__R7C24; s__metagenome	g__R7C24_isolate
d8f95235d3fa54513e8664b9f34a0fa2	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Salinisphaerales; f__Solimonadaceae; g__uncultured; s__uncultured_bacterium	f__Solimonadaceae_isolate
e3ff764bda6046d5c709e54d1c8129aa	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	c__Gammaproteobacteria_unknown
febefdf7bf6c25da3b9f2a9f746934a3	d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__Candidatus_Curtissbacteria; f__Candidatus_Curtissbacteria; g__Candidatus_Curtissbacteria; s__uncultured_bacterium	g__Candidatus_Curtissbacteria_isolate.1
b84f3589ab63751d88bd4d2b41c17945	d__Bacteria; p__Patescibacteria; c__Parcubacteria; o__Candidatus_Moranbacteria; f__Candidatus_Moranbacteria; g__Candidatus_Moranbacteria; s__uncultured_soil	g__Candidatus_Moranbacteria_isolate.1
517c2f89f0ecc9796ed525499c234192	d__Bacteria	d__Bacteria_unknown.1
129ab1de887a8dc66670f64c661697b1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	g__Bacillus_unknown.1
