ASVID	A1..CON	M1..CON	M2..CON	M3..CON	M4..CON	M5..CON	M6..CON	M7..CON	M8..CON	NTC1	NTC2	R1..2..3..4.SWAB.Bd	R1..2.H2O.Pre	R1.J1.Pre	R1.J15.Pre	R1.J16.Bd	R1.J21.Bd	R1.J22.Bd	R1.J23.Bd	R1.J24.Pre	R1.J26.Bd	R1.J27.Pre	R1.J4.Bd	R1.J5.Pre	R1.J7.Bd	R1.J8.Pre	R1.J9.Pre	R10.J1.Bd	R10.J10.Pre	R10.J16.Bd	R10.J18.Pre	R10.J21.Pre	R10.J22.Pre	R10.J23.Bd	R10.J24.Pre	R10.J25.Bd	R10.J27.Bd	R10.J3.Bd	R10.J4.Pre	R10.J5.Pre	R10.J6.Bd	R11..12.H2O.Bd	R11..12.H2O.Pre	R11..12.SWAB.Bd	R11.J10.Pre	R11.J11.Bd	R11.J13.Pre	R11.J15.Pre	R11.J16.Pre	R11.J2.Bd	R11.J21.Bd	R11.J24.Bd	R11.J25.Bd	R11.J26.Bd	R11.J28.Pre	R11.J4.Pre	R11.J6.Pre	R11.J8.Bd	R12.J1.Pre	R12.J12.Bd	R12.J14.Bd	R12.J17.Pre	R12.J18.Pre	R12.J19.Bd	R12.J20.Bd	R12.J22.Pre	R12.J23.Bd	R12.J27.Pre	R12.J3.Bd	R12.J5.Bd	R12.J7.Pre	R12.J9.Pre	R2.J10.Pre	R2.J11.Bd	R2.J12.Pre	R2.J13.Pre	R2.J14.Pre	R2.J17.Pre	R2.J18.Bd	R2.J19.Bd	R2.J2.Bd	R2.J20.Pre	R2.J25.Bd	R2.J28.Pre	R2.J3.Bd	R2.J6.Bd	R3.J1.Bd	R3.J12.Bd	R3.J15.Pre	R3.J16.Pre	R3.J18.Bd	R3.J19.Bd	R3.J20.Bd	R3.J21.Pre	R3.J24.Pre	R3.J25.Bd	R3.J28.Pre	R3.J4.Pre	R3.J6.Bd	R3.J7.Pre	R4.J10.Pre	R4.J11.Bd	R4.J13.Pre	R4.J14.Pre	R4.J17.Bd	R4.J2.Bd	R4.J22.Pre	R4.J23.Pre	R4.J26.Pre	R4.J27.Pre	R4.J3.Bd	R4.J5.Bd	R4.J8.Bd	R4.J9.Bd	R5..6.H2O.Bd	R5..6.SWAB.Bd	R5.J1.Bd	R5.J11.Pre	R5.J12.Bd	R5.J13.Pre	R5.J14.Bd	R5.J15.Pre	R5.J17.Bd	R5.J18.Bd	R5.J21.Pre	R5.J25.Pre	R5.J3.Pre	R5.J4.Bd	R5.J5.Pre	R5.J8.Bd	R6.J10.Pre	R6.J16.Bd	R6.J19.Bd	R6.J2.Pre	R6.J20.Bd	R6.J22.Bd	R6.J23.Bd	R6.J24.Pre	R6.J26.Pre	R6.J27.Bd	R6.J28.Pre	R6.J6.Pre	R6.J7.Bd	R6.J9.Pre	R7..8.H2O.Bd	R7..8.H2O.Pre	R7..8.SWAB.Bd	R7.J10.Pre	R7.J13.Bd	R7.J14.Pre	R7.J15.Bd	R7.J17.Bd	R7.J19.Bd	R7.J20.Pre	R7.J21.Pre	R7.J22.Bd	R7.J23.Bd	R7.J26.Pre	R7.J27.Bd	R7.J5.Pre	R7.J8.Pre	R8.J1.Bd	R8.J11.Bd	R8.J12.Pre	R8.J16.Bd	R8.J18.Pre	R8.J2.Bd	R8.J24.Bd	R8.J25.Pre	R8.J28.Pre	R8.J3.Bd	R8.J4.Pre	R8.J6.Bd	R8.J7.Pre	R8.J9.Pre	R9..10.H2O.Bd	R9..10.H2O.Pre	R9..10.SWAB.Bd	R9.J11.Pre	R9.J12.Bd	R9.J13.Bd	R9.J14.Bd	R9.J15.Bd	R9.J17.Pre	R9.J19.Pre	R9.J2.Pre	R9.J20.Bd	R9.J26.Bd	R9.J28.Pre	R9.J7.Bd	R9.J8.Pre	R9.J9.Pre
bdf8a26094624622d68509a87fa75ba7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	10993	1216	0	138	44	576	52	1369	0	51	24130	0	40	0	145	22	16333	20	22	0	179	0	331	0	0	0	0	0	0	317	26	25	21503	6067	0	202	3068	0	0	0	0	26248	25583	18269	1102	2809	12067	4878	557	57	133	463	25294	661	349	0	1870	0	0	0	36	0	20018	594	33	0	0	0	0	0	43	50	0	0	0	18	41	0	29	0	31	0	0	27	290	0	0	163	37	34	0	37	56	0	17	27	17	8	0	125	62	467	48	0	528	30	0	36	21	75	26	26	76	468	30	6514	27	20	1673	15748	9055	13996	469	20	30	28	35	0	0	0	0	21	0	243	25228	0	26	140	0	2163	0	27	26	0	32	20595	0	0	13	12	35	40	24	0	24	0	0	0	0	0	0	0	384	0	46	17175	29	0	35	0	24	20	29	0	36
52106e22009423eaaa64743e6cdfe659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0c579d21280801f02a641e1608606927	0	0	0	0	0	0	0	0	0	0	0	0	0	2866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5df390383de1546795d7c52202910504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9ac3bb1d7dedb08a012692a6f536b5af	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36ba3496c18e5080628561481ce259a7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d8f95235d3fa54513e8664b9f34a0fa2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e3ff764bda6046d5c709e54d1c8129aa	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
febefdf7bf6c25da3b9f2a9f746934a3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b84f3589ab63751d88bd4d2b41c17945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
