Rep	JarID	M_ID	ZS_ID	Diameter	Notes	X	conv_pix_in_0.1mm	diameter_mm	diameter_um	sampleID
Rep1	4	1	1	139.201			1031.2316	0.0134985196341927	13.4985196341927	R1_J4_Bd
Rep1	4	1	2	44.598			1031.2316	0.00432473170915243	4.32473170915243	R1_J4_Bd
Rep1	4	1	3	48.466			1031.2316	0.00469981718946549	4.69981718946549	R1_J4_Bd
Rep1	4	2	1	164.446			1031.2316	0.0159465633132266	15.9465633132266	R1_J4_Bd
Rep1	7	1	1	99.045			1031.2316	0.00960453500455184	9.60453500455184	R1_J7_Bd
Rep1	7	1	2	134.733			1031.2316	0.0130652512975747	13.0652512975747	R1_J7_Bd
Rep1	7	1	3	108.374			1031.2316	0.0105091814486678	10.5091814486678	R1_J7_Bd
Rep1	7	1	4	140.007			1031.2316	0.0135766786044958	13.5766786044958	R1_J7_Bd
Rep1	7	1	5	143.405			1031.2316	0.0139061875140366	13.9061875140366	R1_J7_Bd
Rep1	7	1	6	87.536			1031.2316	0.0084884908491943	8.4884908491943	R1_J7_Bd
Rep1	7	1	7	86.533			1031.2316	0.00839122850773774	8.39122850773774	R1_J7_Bd
Rep1	7	1	8	124.403			1031.2316	0.0120635364548565	12.0635364548565	R1_J7_Bd
Rep1	7	1	9	122			1031.2316	0.0118305141153549	11.8305141153549	R1_J7_Bd
Rep1	7	1	10	105.679			1031.2316	0.0102478434524311	10.2478434524311	R1_J7_Bd
Rep1	7	1	11	148.014			1031.2316	0.0143531288218864	14.3531288218864	R1_J7_Bd
Rep1	7	1	12	84.454			1031.2316	0.00818962491064083	8.18962491064083	R1_J7_Bd
Rep1	7	1	13	136.235			1031.2316	0.0132109023811916	13.2109023811916	R1_J7_Bd
Rep1	7	1	14	163.878			1031.2316	0.0158914835425912	15.8914835425912	R1_J7_Bd
Rep1	7	1	15	116.927			1031.2316	0.0113385780652959	11.3385780652959	R1_J7_Bd
Rep1	7	1	16	64.498			1031.2316	0.00625446310993573	6.25446310993573	R1_J7_Bd
Rep1	7	1	17	172.325			1031.2316	0.0167106011879388	16.7106011879388	R1_J7_Bd
Rep1	7	1	18	61.774			1031.2316	0.00599031294231092	5.99031294231092	R1_J7_Bd
Rep1	7	1	19	145.121			1031.2316	0.014072590483069	14.072590483069	R1_J7_Bd
Rep1	7	1	20	136.208			1031.2316	0.0132082841526579	13.2082841526579	R1_J7_Bd
Rep1	7	1	21	120.615			1031.2316	0.0116962086887175	11.6962086887175	R1_J7_Bd
Rep1	7	1	22	154.777			1031.2316	0.0150089465838712	15.0089465838712	R1_J7_Bd
Rep1	7	2	1	161.245			1031.2316	0.0156361577748393	15.6361577748393	R1_J7_Bd
Rep1	7	2	2	190.032			1031.2316	0.0184276742489272	18.4276742489272	R1_J7_Bd
Rep1	7	2	3	148.661			1031.2316	0.0144158693352686	14.4158693352686	R1_J7_Bd
Rep1	7	2	4	132.015			1031.2316	0.0128016829585129	12.8016829585129	R1_J7_Bd
Rep1	7	2	5	158.152			1031.2316	0.0153362251505869	15.3362251505869	R1_J7_Bd
Rep1	7	2	6	114.543			1031.2316	0.0111073981829106	11.1073981829106	R1_J7_Bd
Rep1	7	2	7	132.439			1031.2316	0.0128427988436351	12.8427988436351	R1_J7_Bd
Rep1	7	2	8	127.279			1031.2316	0.0123424262794119	12.3424262794119	R1_J7_Bd
Rep1	7	2	9	110.454			1031.2316	0.0107108820171919	10.7108820171919	R1_J7_Bd
Rep1	7	2	10	120.333			1031.2316	0.0116688627462541	11.6688627462541	R1_J7_Bd
Rep1	7	2	11	127.405			1031.2316	0.012354644679236	12.354644679236	R1_J7_Bd
Rep1	7	2	12	193.08			1031.2316	0.0187232431589567	18.7232431589567	R1_J7_Bd
