info_sampleID	original_sampleID	RichLevel	Rep	DateStart	Inhibitory	BTB_47	33B	50A	32E	2E	2H	13C	50B	35A	BTB_45	34F	33D	35E	2F	37E	24L	40A	24D	24C	49C	35B	20D	BTB_28	25C	20C	47C	36E	32G	54G	40B	volPellet	34B	37H	20A	45E	25A	36G	36A	21C	45D	BTB_59	Problem	Bd_jar	CV_jar	sampling_method	DateSampled	sampleType	JarID	CV	cClean	CV_var	Bd_n	randomOrder	extraction_set
Con_2020-09-07_0_Rep3_J16_PreBd	Con_2020-09-07_0_Rep3	0	Rep3	2020-09-07	Con	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	whole membrane	2020-09-15	PreBd	16	0.140333333333333	TRUE	2.33333333333329e-06	NA	1	A1
Inhib_2020-09-07_10_Rep3_J4_PreBd	Inhib_2020-09-07_10_Rep3	10	Rep3	2020-09-07	Inhib	TRUE	NA	TRUE	TRUE	NA	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	whole membrane	2020-09-15	PreBd	4	1.00266666666667	TRUE	2.13333333333334e-05	NA	2	A1
Inhib_2020-09-07_3_Rep3_J24_PreBd	Inhib_2020-09-07_3_Rep3	3	Rep3	2020-09-07	Inhib	NA	NA	TRUE	NA	NA	TRUE	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	whole membrane	2020-09-15	PreBd	24	1.253	TRUE	0.000348999999999998	NA	3	A1
Non_2020-09-07_10_Rep3_J21_PreBd	Non_2020-09-07_10_Rep3	10	Rep3	2020-09-07	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	NA	NA	TRUE	NA	NA	NA	TRUE	TRUE	NA	TRUE	TRUE	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	whole membrane	2020-09-15	PreBd	21	0.257	TRUE	1.6e-05	NA	4	A1
Non_2020-09-07_1_Rep3_J28_PreBd	Non_2020-09-07_1_Rep3	1	Rep3	2020-09-07	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	whole membrane	2020-09-15	PreBd	28	0.141333333333333	TRUE	3.33333333333334e-07	NA	5	A2
Inhib_2020-09-07_1_Rep3_J7_PreBd	Inhib_2020-09-07_1_Rep3	1	Rep3	2020-09-07	Inhib	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	whole membrane	2020-09-15	PreBd	7	1.713	TRUE	0.001036	NA	6	A2
Non_2020-09-07_3_Rep3_J15_PreBd	Non_2020-09-07_3_Rep3	3	Rep3	2020-09-07	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	whole membrane	2020-09-15	PreBd	15	0.188333333333333	FALSE	3.33333333333334e-07	NA	7	A2
Non_2020-09-07_10_Rep4_J27_PreBd	Non_2020-09-07_10_Rep4	10	Rep4	2020-09-07	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	TRUE	NA	NA	NA	TRUE	TRUE	NA	NA	TRUE	NA	NA	TRUE	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	whole membrane	2020-09-15	PreBd	27	0.499666666666667	TRUE	9.33333333333335e-06	NA	1	A2
Con_2020-09-07_0_Rep4_J14_PreBd	Con_2020-09-07_0_Rep4	0	Rep4	2020-09-07	Con	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	whole membrane	2020-09-15	PreBd	14	0.149	TRUE	1e-06	NA	2	A2
Inhib_2020-09-07_3_Rep4_J23_PreBd	Inhib_2020-09-07_3_Rep4	3	Rep4	2020-09-07	Inhib	TRUE	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	whole membrane	2020-09-15	PreBd	23	0.263333333333333	TRUE	1.73333333333334e-05	NA	3	A2
Inhib_2020-09-07_1_Rep4_J13_PreBd	Inhib_2020-09-07_1_Rep4	1	Rep4	2020-09-07	Inhib	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	whole membrane	2020-09-15	PreBd	13	0.148333333333333	TRUE	3.33333333333334e-07	NA	4	A2
Non_2020-09-07_1_Rep4_J10_PreBd	Non_2020-09-07_1_Rep4	1	Rep4	2020-09-07	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	whole membrane	2020-09-15	PreBd	10	0.183	FALSE	0	NA	5	A1
Non_2020-09-07_3_Rep4_J22_PreBd	Non_2020-09-07_3_Rep4	3	Rep4	2020-09-07	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	NA	NA	NA	NA	NA	NA	whole membrane	2020-09-15	PreBd	22	0.162666666666667	TRUE	4.43333333333334e-05	NA	6	A1
Inhib_2020-09-07_10_Rep4_J26_PreBd	Inhib_2020-09-07_10_Rep4	10	Rep4	2020-09-07	Inhib	TRUE	NA	TRUE	NA	TRUE	TRUE	TRUE	NA	NA	NA	NA	TRUE	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	whole membrane	2020-09-15	PreBd	26	0.577	TRUE	7.90000000000001e-05	NA	7	A1
Non_2020-09-07_1_Rep4_J9_Bd	Non_2020-09-07_1_Rep4	1	Rep4	2020-09-07	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	swab	2020-09-19	Bd	9	NA	TRUE	NA	NA	1	A3
Inhib_2020-09-07_3_Rep3_J18_Bd	Inhib_2020-09-07_3_Rep3	3	Rep3	2020-09-07	Inhib	NA	NA	TRUE	NA	NA	TRUE	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	swab	2020-09-19	Bd	18	NA	FALSE	NA	NA	2	A3
Inhib_2020-09-07_10_Rep4_J17_Bd	Inhib_2020-09-07_10_Rep4	10	Rep4	2020-09-07	Inhib	TRUE	NA	TRUE	NA	TRUE	TRUE	TRUE	NA	NA	NA	NA	TRUE	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	swab	2020-09-19	Bd	17	NA	TRUE	NA	NA	3	A3
Non_2020-09-07_10_Rep4_J2_Bd	Non_2020-09-07_10_Rep4	10	Rep4	2020-09-07	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	TRUE	NA	NA	NA	TRUE	TRUE	NA	NA	TRUE	NA	NA	TRUE	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	swab	2020-09-19	Bd	2	NA	TRUE	NA	NA	4	A3
Non_2020-09-07_1_Rep3_J6_Bd	Non_2020-09-07_1_Rep3	1	Rep3	2020-09-07	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	swab	2020-09-19	Bd	6	NA	FALSE	NA	NA	5	A3
molecH2O-for-rinse_PreBd_2020-09-07	NA	NA	NA	2020-09-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	water	2020-09-15	sample_control	NA	NA	NA	NA	NA	6	A3
Inhib_2020-09-07_1_Rep4_J11_Bd	Inhib_2020-09-07_1_Rep4	1	Rep4	2020-09-07	Inhib	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	swab	2020-09-19	Bd	11	NA	TRUE	NA	NA	7	A3
Inhib_2020-09-07_3_Rep4_J3_Bd	Inhib_2020-09-07_3_Rep4	3	Rep4	2020-09-07	Inhib	TRUE	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	swab	2020-09-19	Bd	3	NA	TRUE	NA	NA	8	A3
Con_2020-09-07_0_Rep3_J20_Bd	Con_2020-09-07_0_Rep3	0	Rep3	2020-09-07	Con	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	swab	2020-09-19	Bd	20	NA	TRUE	NA	NA	9	A3
Non_2020-09-07_3_Rep4_J8_Bd	Non_2020-09-07_3_Rep4	3	Rep4	2020-09-07	Non	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	NA	NA	NA	NA	NA	NA	swab	2020-09-19	Bd	8	NA	TRUE	NA	NA	10	A3
Con_2020-09-07_0_Rep4_J5_Bd	Con_2020-09-07_0_Rep4	0	Rep4	2020-09-07	Con	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	swab	2020-09-19	Bd	5	NA	TRUE	NA	NA	11	A3
