rank_within	A1	A2	A3	M1	M2	M3	M4	M5	M6	M7
1	Inhib_2020-09-07_10_Rep3_J4_PreBd	Con_2020-09-07_0_Rep4_J14_PreBd	Non_2020-09-07_3_Rep3_J25_Bd	surfaceSwab_PostBd_2020-09-07	Inhib_2020-10-05_10_Rep11_J26_Bd	Inhib_2020-09-19_3_Rep7_J13_Bd	molecH2O-for-rinse_PostBd_2020-10-05	molecH2O-for-rinse_PostBd_2020-09-28	Non_2020-08-31_3_Rep2_J11_Bd	Non_2020-10-05_3_Rep12_J20_Bd
2	Con_2020-09-07_0_Rep3_J16_PreBd	Non_2020-09-07_1_Rep3_J28_PreBd	Inhib_2020-09-07_10_Rep4_J17_Bd	Non_2020-09-28_3_Rep10_J10_PreBd	surfaceSwab_PostBd_2020-10-05	Non_2020-10-05_1_Rep12_J14_Bd	Non_2020-10-05_10_Rep11_J10_PreBd	molecH2O-for-rinse_PreBd_2020-09-28	Inhib_2020-08-31_3_Rep1_J4_Bd	Non_2020-09-19_10_Rep8_J2_Bd
3	Inhib_2020-09-07_10_Rep4_J26_PreBd	Inhib_2020-09-07_1_Rep4_J13_PreBd	molecH2O-for-rinse_PreBd_2020-09-07	Inhib_2020-10-05_1_Rep11_J8_Bd	Inhib_2020-10-05_1_Rep12_J1_PreBd	surfaceSwab_PostBd_2020-09-28	Non_2020-09-28_10_Rep10_J22_PreBd	Inhib_2020-09-19_1_Rep8_J12_PreBd	Inhib_2020-10-05_1_Rep11_J6_PreBd	Non_2020-09-19_1_Rep8_J6_Bd
4	Inhib_2020-09-07_3_Rep3_J24_PreBd	Non_2020-09-07_3_Rep3_J15_PreBd	Inhib_2020-09-07_1_Rep4_J11_Bd	Inhib_2020-08-31_1_Rep2_J6_Bd	Inhib_2020-09-19_1_Rep7_J15_Bd	Non_2020-09-14_3_Rep5_J14_Bd	Con_2020-09-14_0_Rep6_J9_PreBd	Non_2020-08-31_3_Rep1_J16_Bd	Non_2020-08-31_10_Rep2_J17_PreBd	Inhib_2020-08-31_3_Rep1_J8_PreBd
5	Non_2020-09-07_1_Rep4_J10_PreBd	Inhib_2020-09-07_1_Rep3_J7_PreBd	Con_2020-09-07_0_Rep3_J20_Bd	Inhib_2020-09-28_3_Rep10_J4_PreBd	Inhib_2020-09-14_1_Rep5_J5_PreBd	Non_2020-08-31_10_Rep2_J3_Bd	Inhib_2020-10-05_3_Rep12_J7_PreBd	Non_2020-10-05_10_Rep11_J24_Bd	Con_2020-08-31_0_Rep1_J15_PreBd	Non_2020-10-05_3_Rep12_J9_PreBd
6	Non_2020-09-07_10_Rep3_J21_PreBd	Inhib_2020-09-07_3_Rep4_J23_PreBd	Non_2020-09-07_3_Rep4_J8_Bd	Inhib_2020-09-14_10_Rep5_J17_Bd	Non_2020-08-31_10_Rep1_J5_PreBd	Con_2020-09-19_0_Rep7_J14_PreBd	molecH2O-for-rinse_PostBd_2020-08-31	Inhib_2020-09-14_3_Rep6_J19_Bd	Inhib_2020-09-28_10_Rep9_J9_PreBd	Inhib_2020-08-31_10_Rep1_J22_Bd
7	Non_2020-09-07_3_Rep4_J22_PreBd	Non_2020-09-07_10_Rep4_J27_PreBd	Inhib_2020-09-07_3_Rep4_J3_Bd	Inhib_2020-09-28_3_Rep9_J8_PreBd	Non_2020-10-05_1_Rep11_J21_Bd	Inhib_2020-09-19_10_Rep8_J24_Bd	Inhib_2020-10-05_1_Rep12_J5_Bd	Inhib_2020-09-14_1_Rep6_J23_Bd	Non_2020-09-14_10_Rep6_J6_PreBd	Non_2020-09-28_3_Rep9_J28_PreBd
8	NA	NA	Non_2020-09-07_1_Rep4_J9_Bd	Inhib_2020-09-28_1_Rep10_J18_PreBd	Inhib_2020-10-05_10_Rep12_J17_PreBd	Con_2020-10-05_0_Rep11_J15_PreBd	Con_2020-10-05_0_Rep12_J22_PreBd	Inhib_2020-08-31_10_Rep2_J20_PreBd	Non_2020-08-31_1_Rep2_J12_PreBd	molecH2O-for-rinse_PreBd_2020-09-14
9	NA	NA	Non_2020-09-07_1_Rep3_J6_Bd	Inhib_2020-09-19_3_Rep8_J16_Bd	Non_2020-09-14_10_Rep6_J16_Bd	molecH2O-for-rinse_PostBd_2020-09-07	Non_2020-09-14_1_Rep5_J8_Bd	Con_2020-09-28_0_Rep10_J24_PreBd	Non_2020-09-14_1_Rep5_J25_PreBd	Non_2020-09-19_3_Rep8_J1_Bd
10	NA	NA	Non_2020-09-07_10_Rep3_J19_Bd	Non_2020-09-28_1_Rep9_J19_PreBd	Con_2020-09-19_0_Rep7_J17_Bd	Con_2020-09-19_0_Rep8_J9_PreBd	molecH2O-for-rinse_PostBd_2020-09-14	Non_2020-09-14_3_Rep6_J20_Bd	Con_2020-09-14_0_Rep5_J12_Bd	Inhib_2020-09-14_3_Rep6_J26_PreBd
