Run	Date	Row	Column	Well	sampleID	replicate_within_plate	well_designation	primers	evaporation	dup_on_same_run	notes
Bd_lastrow	17-Nov-20	A	1	A1	Gblock e-1	1	gblock_standard	ITS1-3/5.8SChytr	FALSE	TRUE	
Bd_lastrow	17-Nov-20	B	1	B1	Gblock e-2	1	gblock_standard	ITS1-3/5.8SChytr	FALSE	TRUE	
Bd_lastrow	17-Nov-20	C	1	C1	Gblock e-3	1	gblock_standard	ITS1-3/5.8SChytr	TRUE	TRUE	
Bd_lastrow	17-Nov-20	D	1	D1	Gblock e-4	1	gblock_standard	ITS1-3/5.8SChytr	FALSE	TRUE	
Bd_lastrow	17-Nov-20	E	1	E1	Gblock e-5	1	gblock_standard	ITS1-3/5.8SChytr	TRUE	TRUE	
Bd_lastrow	17-Nov-20	F	1	F1	Gblock e-6	1	gblock_standard	ITS1-3/5.8SChytr	FALSE	TRUE	
Bd_lastrow	17-Nov-20	G	1	G1	Gblock e-7	1	gblock_standard	ITS1-3/5.8SChytr	FALSE	TRUE	
Bd_lastrow	17-Nov-20	H	1	H1	Gblock e-8	1	gblock_standard	ITS1-3/5.8SChytr	FALSE	TRUE	
Bd_lastrow	17-Nov-20	A	2	A2	R3_J20_Bd	1	sample	ITS1-3/5.8SChytr	FALSE	TRUE	
Bd_lastrow	17-Nov-20	B	2	B2	NTC	1	NTC	ITS1-3/5.8SChytr	FALSE	TRUE	
Bd_lastrow	17-Nov-20	C	2	C2	R3_J12_Bd	1	sample	ITS1-3/5.8SChytr	FALSE	TRUE	
Bd_lastrow	17-Nov-20	D	2	D2	R4_J2_Bd	1	sample	ITS1-3/5.8SChytr	FALSE	TRUE	
Bd_lastrow	17-Nov-20	E	2	E2	R4_J5_Bd	1	sample	ITS1-3/5.8SChytr	FALSE	TRUE	
Bd_lastrow	17-Nov-20	F	2	F2	R3_J18_Bd	1	sample	ITS1-3/5.8SChytr	FALSE	TRUE	
Bd_lastrow	17-Nov-20	G	2	G2	R3_J1_Bd	1	sample	ITS1-3/5.8SChytr	FALSE	TRUE	
Bd_lastrow	17-Nov-20	H	2	H2	R3_J19_Bd	1	sample	ITS1-3/5.8SChytr	FALSE	TRUE	
Bd_lastrow	17-Nov-20	A	3	A3	PISC-1	1	PISCES_standard	ITS1-3/5.8SChytr	FALSE	TRUE	
Bd_lastrow	17-Nov-20	B	3	B3	PISC-2	1	PISCES_standard	ITS1-3/5.8SChytr	FALSE	TRUE	
Bd_lastrow	17-Nov-20	C	3	C3	PISC-3	1	PISCES_standard	ITS1-3/5.8SChytr	FALSE	TRUE	
Bd_lastrow	17-Nov-20	D	3	D3	PISC-4	1	PISCES_standard	ITS1-3/5.8SChytr	FALSE	TRUE	
Bd_lastrow	17-Nov-20	E	3	E3	PISC-5	1	PISCES_standard	ITS1-3/5.8SChytr	FALSE	TRUE	
Bd_lastrow	17-Nov-20	F	3	F3	PISC-6	1	PISCES_standard	ITS1-3/5.8SChytr	FALSE	TRUE	
Bd_lastrow	17-Nov-20	G	3	G3	PISC-7	1	PISCES_standard	ITS1-3/5.8SChytr	FALSE	TRUE	
Bd_lastrow	17-Nov-20	H	3	H3	NTC	2	NTC	ITS1-3/5.8SChytr	FALSE	TRUE	
Bd_lastrow	17-Nov-20	A	4	A4	R4_J2_Bd	2	sample	ITS1-3/5.8SChytr	FALSE	TRUE	
Bd_lastrow	17-Nov-20	B	4	B4	R3_J18_Bd	2	sample	ITS1-3/5.8SChytr	FALSE	TRUE	
Bd_lastrow	17-Nov-20	C	4	C4	NTC	3	NTC	ITS1-3/5.8SChytr	TRUE	TRUE	
Bd_lastrow	17-Nov-20	D	4	D4	R4_J5_Bd	2	sample	ITS1-3/5.8SChytr	FALSE	TRUE	
Bd_lastrow	17-Nov-20	E	4	E4	R3_J19_Bd	2	sample	ITS1-3/5.8SChytr	FALSE	TRUE	
Bd_lastrow	17-Nov-20	F	4	F4	R3_J1_Bd	2	sample	ITS1-3/5.8SChytr	FALSE	TRUE	
Bd_lastrow	17-Nov-20	G	4	G4	R3_J12_Bd	2	sample	ITS1-3/5.8SChytr	FALSE	TRUE	
Bd_lastrow	17-Nov-20	H	4	H4	R3_J20_Bd	2	sample	ITS1-3/5.8SChytr	TRUE	TRUE	
Bd_1-11_Rep1	17-Nov-20	A	1	A1	R6_J27_Bd	1	sample	ITS1-3/5.8SChytr	FALSE	FALSE	
Bd_1-11_Rep1	17-Nov-20	B	1	B1	R9_J13_Bd	1	sample	ITS1-3/5.8SChytr	FALSE	FALSE	
Bd_1-11_Rep1	17-Nov-20	C	1	C1	PISC_1	1	PISCES_standard	ITS1-3/5.8SChytr	TRUE	FALSE	
Bd_1-11_Rep1	17-Nov-20	D	1	D1	R12_J19_Bd	1	sample	ITS1-3/5.8SChytr	FALSE	FALSE	
Bd_1-11_Rep1	17-Nov-20	E	1	E1	R8_J16_Bd	1	sample	ITS1-3/5.8SChytr	FALSE	FALSE	
Bd_1-11_Rep1	17-Nov-20	F	1	F1	R5_J17_Bd	1	sample	ITS1-3/5.8SChytr	FALSE	FALSE	
Bd_1-11_Rep1	17-Nov-20	G	1	G1	R2_J6_Bd	1	sample	ITS1-3/5.8SChytr	FALSE	FALSE	
Bd_1-11_Rep1	17-Nov-20	H	1	H1	R11_J8_Bd	1	sample	ITS1-3/5.8SChytr	FALSE	FALSE	
Bd_1-11_Rep1	17-Nov-20	A	2	A2	R6_J16_Bd	1	sample	ITS1-3/5.8SChytr	FALSE	FALSE	
Bd_1-11_Rep1	17-Nov-20	B	2	B2	R11_J21_Bd	1	sample	ITS1-3/5.8SChytr	FALSE	FALSE	
Bd_1-11_Rep1	17-Nov-20	C	2	C2	R7_J15_Bd	1	sample	ITS1-3/5.8SChytr	FALSE	FALSE	
Bd_1-11_Rep1	17-Nov-20	D	2	D2	NTC	1	NTC	ITS1-3/5.8SChytr	FALSE	FALSE	
Bd_1-11_Rep1	17-Nov-20	E	2	E2	R11_J26_Bd	1	sample	ITS1-3/5.8SChytr	FALSE	FALSE	
Bd_1-11_Rep1	17-Nov-20	F	2	F2	R12_J12_Bd	1	sample	ITS1-3/5.8SChytr	FALSE	FALSE	
Bd_1-11_Rep1	17-Nov-20	G	2	G2	R6_J22_Bd	1	sample	ITS1-3/5.8SChytr	FALSE	FALSE	
Bd_1-11_Rep1	17-Nov-20	H	2	H2	R10_J25_Bd	1	sample	ITS1-3/5.8SChytr	FALSE	FALSE	
Bd_1-11_Rep1	17-Nov-20	A	3	A3	R2_J18_Bd	1	sample	ITS1-3/5.8SChytr	FALSE	FALSE	extra 3uL water
Bd_1-11_Rep1	17-Nov-20	B	3	B3	NTC	2	NTC	ITS1-3/5.8SChytr	FALSE	FALSE	
Bd_1-11_Rep1	17-Nov-20	C	3	C3	R10_J27_Bd	1	sample	ITS1-3/5.8SChytr	FALSE	FALSE	
Bd_1-11_Rep1	17-Nov-20	D	3	D3	R2_J19_Bd	1	sample	ITS1-3/5.8SChytr	FALSE	FALSE	
Bd_1-11_Rep1	17-Nov-20	E	3	E3	NTC	3	NTC	ITS1-3/5.8SChytr	FALSE	FALSE	
Bd_1-11_Rep1	17-Nov-20	F	3	F3	R2_J25_Bd	1	sample	ITS1-3/5.8SChytr	FALSE	FALSE	
Bd_1-11_Rep1	17-Nov-20	G	3	G3	R7_J19_Bd	1	sample	ITS1-3/5.8SChytr	FALSE	FALSE	
Bd_1-11_Rep1	17-Nov-20	H	3	H3	R7_J17_Bd	1	sample	ITS1-3/5.8SChytr	FALSE	FALSE	
Bd_1-11_Rep1	17-Nov-20	A	4	A4	PISC_5	1	PISCES_standard	ITS1-3/5.8SChytr	FALSE	FALSE	
Bd_1-11_Rep1	17-Nov-20	B	4	B4	R1_J7_Bd	1	sample	ITS1-3/5.8SChytr	FALSE	FALSE	
Bd_1-11_Rep1	17-Nov-20	C	4	C4	R8_J24_Bd	1	sample	ITS1-3/5.8SChytr	FALSE	FALSE	
Bd_1-11_Rep1	17-Nov-20	D	4	D4	R2_J3_Bd	1	sample	ITS1-3/5.8SChytr	FALSE	FALSE	
Bd_1-11_Rep1	17-Nov-20	E	4	E4	R5_J14_Bd	1	sample	ITS1-3/5.8SChytr	FALSE	FALSE	
Bd_1-11_Rep1	17-Nov-20	F	4	F4	PISC_3	1	PISCES_standard	ITS1-3/5.8SChytr	FALSE	FALSE	
Bd_1-11_Rep1	17-Nov-20	G	4	G4	R12_J14_Bd	1	sample	ITS1-3/5.8SChytr	FALSE	FALSE	
Bd_1-11_Rep1	17-Nov-20	H	4	H4	R7_J13_Bd	1	sample	ITS1-3/5.8SChytr	FALSE	FALSE	
Bd_1-11_Rep1	17-Nov-20	A	5	A5	R5_J8_Bd	1	sample	ITS1-3/5.8SChytr	FALSE	FALSE	
Bd_1-11_Rep1	17-Nov-20	B	5	B5	R12_J5_Bd	1	sample	ITS1-3/5.8SChytr	FALSE	FALSE	
Bd_1-11_Rep1	17-Nov-20	C	5	C5	NTC	4	NTC	ITS1-3/5.8SChytr	FALSE	FALSE	
Bd_1-11_Rep1	17-Nov-20	D	5	D5	NTC	5	NTC	ITS1-3/5.8SChytr	FALSE	FALSE	
Bd_1-11_Rep1	17-Nov-20	E	5	E5	R11_J25_Bd	1	sample	ITS1-3/5.8SChytr	FALSE	FALSE	
