Segment	Ramp/Plateau	Ramp/Plateau #	Well	Dye	Cycle #	Fluorescence	Temperature
 1	R	 3	 2	SYBR	  1	    63524	54.2
 1	R	 3	 2	SYBR	  1	    63528	54.5
 1	R	 3	 2	SYBR	  1	    63548	54.6
 1	R	 3	 2	SYBR	  1	    63658	54.7
 1	R	 3	 2	SYBR	  1	    63639	54.7
 1	R	 3	 2	SYBR	  1	    63743	55.0
 1	R	 3	 2	SYBR	  1	    63726	55.1
 1	R	 3	 2	SYBR	  1	    63727	55.2
 1	R	 3	 2	SYBR	  1	    63755	55.2
 1	R	 3	 2	SYBR	  1	    63764	55.5
 1	R	 3	 2	SYBR	  1	    63675	55.6
 1	R	 3	 2	SYBR	  1	    63840	55.7
 1	R	 3	 2	SYBR	  1	    63890	55.7
 1	R	 3	 2	SYBR	  1	    63898	56.0
 1	R	 3	 2	SYBR	  1	    63864	56.1
 1	R	 3	 2	SYBR	  1	    63894	56.2
 1	R	 3	 2	SYBR	  1	    63923	56.2
 1	R	 3	 2	SYBR	  1	    63863	56.5
 1	R	 3	 2	SYBR	  1	    63948	56.6
 1	R	 3	 2	SYBR	  1	    63921	56.7
 1	R	 3	 2	SYBR	  1	    63890	56.7
 1	R	 3	 2	SYBR	  1	    63904	56.8
 1	R	 3	 2	SYBR	  1	    63868	57.1
 1	R	 3	 2	SYBR	  1	    63962	57.2
 1	R	 3	 2	SYBR	  1	    63894	57.2
 1	R	 3	 2	SYBR	  1	    63936	57.3
 1	R	 3	 2	SYBR	  1	    63922	57.6
 1	R	 3	 2	SYBR	  1	    63879	57.7
 1	R	 3	 2	SYBR	  1	    63928	57.7
 1	R	 3	 2	SYBR	  1	    63880	57.8
 1	R	 3	 2	SYBR	  1	    63890	58.0
 1	R	 3	 2	SYBR	  1	    63892	58.2
 1	R	 3	 2	SYBR	  1	    63871	58.2
 1	R	 3	 2	SYBR	  1	    63856	58.3
 1	R	 3	 2	SYBR	  1	    63908	58.5
 1	R	 3	 2	SYBR	  1	    63916	58.7
 1	R	 3	 2	SYBR	  1	    63911	58.7
 1	R	 3	 2	SYBR	  1	    63858	58.7
 1	R	 3	 2	SYBR	  1	    63954	59.0
 1	R	 3	 2	SYBR	  1	    63911	59.2
 1	R	 3	 2	SYBR	  1	    63892	59.2
 1	R	 3	 2	SYBR	  1	    63938	59.2
 1	R	 3	 2	SYBR	  1	    63900	59.5
 1	R	 3	 2	SYBR	  1	    63920	59.6
 1	R	 3	 2	SYBR	  1	    63935	59.7
 1	R	 3	 2	SYBR	  1	    63930	59.7
 1	R	 3	 2	SYBR	  1	    63901	60.0
 1	R	 3	 2	SYBR	  1	    63949	60.1
 1	R	 3	 2	SYBR	  1	    63949	60.2
 1	R	 3	 2	SYBR	  1	    63846	60.2
 1	R	 3	 2	SYBR	  1	    63884	60.5
 1	R	 3	 2	SYBR	  1	    63873	60.6
