Segment	Ramp/Plateau	Ramp/Plateau #	Well	Dye	Cycle #	Fluorescence	Temperature
1	R	3	2	SYBR	1	62862	54.2
1	R	3	2	SYBR	1	63035	54.5
1	R	3	2	SYBR	1	63145	54.6
1	R	3	2	SYBR	1	63157	54.7
1	R	3	2	SYBR	1	63236	54.7
1	R	3	2	SYBR	1	63139	55
1	R	3	2	SYBR	1	63276	55.1
1	R	3	2	SYBR	1	63334	55.2
1	R	3	2	SYBR	1	63329	55.2
1	R	3	2	SYBR	1	63199	55.5
1	R	3	2	SYBR	1	63331	55.6
1	R	3	2	SYBR	1	63376	55.7
1	R	3	2	SYBR	1	63329	55.7
1	R	3	2	SYBR	1	63304	56
1	R	3	2	SYBR	1	63382	56.1
1	R	3	2	SYBR	1	63359	56.2
1	R	3	2	SYBR	1	63380	56.2
1	R	3	2	SYBR	1	63428	56.5
1	R	3	2	SYBR	1	63336	56.6
1	R	3	2	SYBR	1	63396	56.7
1	R	3	2	SYBR	1	63435	56.7
1	R	3	2	SYBR	1	63359	57
1	R	3	2	SYBR	1	63352	57.1
1	R	3	2	SYBR	1	63348	57.2
1	R	3	2	SYBR	1	63325	57.2
1	R	3	2	SYBR	1	63387	57.3
1	R	3	2	SYBR	1	63371	57.6
1	R	3	2	SYBR	1	63407	57.7
1	R	3	2	SYBR	1	63273	57.7
1	R	3	2	SYBR	1	63316	57.8
1	R	3	2	SYBR	1	63378	58.1
1	R	3	2	SYBR	1	63366	58.2
1	R	3	2	SYBR	1	63351	58.2
1	R	3	2	SYBR	1	63352	58.5
1	R	3	2	SYBR	1	63351	58.6
1	R	3	2	SYBR	1	63292	58.7
1	R	3	2	SYBR	1	63318	58.7
1	R	3	2	SYBR	1	63294	58.8
1	R	3	2	SYBR	1	63323	59
1	R	3	2	SYBR	1	63380	59.1
1	R	3	2	SYBR	1	63348	59.2
1	R	3	2	SYBR	1	63349	59.2
1	R	3	2	SYBR	1	63328	59.5
1	R	3	2	SYBR	1	63350	59.6
1	R	3	2	SYBR	1	63351	59.7
1	R	3	2	SYBR	1	63316	59.7
1	R	3	2	SYBR	1	63399	60
1	R	3	2	SYBR	1	63271	60.1
1	R	3	2	SYBR	1	63276	60.2
1	R	3	2	SYBR	1	63271	60.2
1	R	3	2	SYBR	1	63259	60.5
1	R	3	2	SYBR	1	63369	60.6
1	R	3	2	SYBR	1	63389	60.7
1	R	3	2	SYBR	1	63396	60.7
1	R	3	2	SYBR	1	63414	61
1	R	3	2	SYBR	1	63366	61.1
1	R	3	2	SYBR	1	63434	61.2
1	R	3	2	SYBR	1	63359	61.2
1	R	3	2	SYBR	1	63416	61.5
1	R	3	2	SYBR	1	63379	61.6
1	R	3	2	SYBR	1	63373	61.7
1	R	3	2	SYBR	1	63367	61.7
1	R	3	2	SYBR	1	63386	61.8
1	R	3	2	SYBR	1	63443	62.1
1	R	3	2	SYBR	1	63319	62.2
1	R	3	2	SYBR	1	63306	62.2
1	R	3	2	SYBR	1	63433	62.3
1	R	3	2	SYBR	1	63482	62.6
1	R	3	2	SYBR	1	63394	62.7
1	R	3	2	SYBR	1	63380	62.7
1	R	3	2	SYBR	1	63439	62.7
1	R	3	2	SYBR	1	63538	63
1	R	3	2	SYBR	1	63427	63.1
1	R	3	2	SYBR	1	63488	63.2
1	R	3	2	SYBR	1	63439	63.2
1	R	3	2	SYBR	1	63425	63.5
1	R	3	2	SYBR	1	63401	63.6
1	R	3	2	SYBR	1	63505	63.7
1	R	3	2	SYBR	1	63376	63.7
1	R	3	2	SYBR	1	63404	64
1	R	3	2	SYBR	1	63393	64
1	R	3	2	SYBR	1	63516	64.2
1	R	3	2	SYBR	1	63340	64.2
1	R	3	2	SYBR	1	63450	64.5
1	R	3	2	SYBR	1	63363	64.5
1	R	3	2	SYBR	1	63408	64.7
1	R	3	2	SYBR	1	63341	64.7
1	R	3	2	SYBR	1	63295	65
1	R	3	2	SYBR	1	63372	65
1	R	3	2	SYBR	1	63296	65.2
1	R	3	2	SYBR	1	63253	65.2
1	R	3	2	SYBR	1	63237	65.5
1	R	3	2	SYBR	1	63184	65.5
1	R	3	2	SYBR	1	63140	65.7
1	R	3	2	SYBR	1	63125	65.7
1	R	3	2	SYBR	1	63111	65.9
1	R	3	2	SYBR	1	63133	66
1	R	3	2	SYBR	1	63180	66.2
1	R	3	2	SYBR	1	63149	66.2
1	R	3	2	SYBR	1	63044	66.4
1	R	3	2	SYBR	1	63026	66.5
1	R	3	2	SYBR	1	63003	66.7
1	R	3	2	SYBR	1	62984	66.7
1	R	3	2	SYBR	1	63002	66.9
1	R	3	2	SYBR	1	62923	67
1	R	3	2	SYBR	1	62959	67
1	R	3	2	SYBR	1	62934	67.2
1	R	3	2	SYBR	1	62921	67.4
1	R	3	2	SYBR	1	62947	67.5
1	R	3	2	SYBR	1	62841	67.5
1	R	3	2	SYBR	1	62865	67.7
1	R	3	2	SYBR	1	62747	67.9
1	R	3	2	SYBR	1	62700	68
1	R	3	2	SYBR	1	62736	68
1	R	3	2	SYBR	1	62690	68.2
1	R	3	2	SYBR	1	62667	68.4
1	R	3	2	SYBR	1	62615	68.5
1	R	3	2	SYBR	1	62539	68.5
1	R	3	2	SYBR	1	62550	68.7
1	R	3	2	SYBR	1	62460	68.7
1	R	3	2	SYBR	1	62347	69
1	R	3	2	SYBR	1	62381	69
1	R	3	2	SYBR	1	62323	69.2
1	R	3	2	SYBR	1	62305	69.2
1	R	3	2	SYBR	1	62336	69.5
1	R	3	2	SYBR	1	62230	69.5
1	R	3	2	SYBR	1	62262	69.7
1	R	3	2	SYBR	1	62242	69.7
1	R	3	2	SYBR	1	62170	69.9
1	R	3	2	SYBR	1	62201	70
1	R	3	2	SYBR	1	62205	70.2
1	R	3	2	SYBR	1	62104	70.2
1	R	3	2	SYBR	1	62022	70.4
1	R	3	2	SYBR	1	62022	70.5
1	R	3	2	SYBR	1	62059	70.5
1	R	3	2	SYBR	1	61944	70.7
1	R	3	2	SYBR	1	61915	70.9
1	R	3	2	SYBR	1	61879	71
1	R	3	2	SYBR	1	61865	71
1	R	3	2	SYBR	1	61920	71.2
1	R	3	2	SYBR	1	61916	71.4
1	R	3	2	SYBR	1	61816	71.5
1	R	3	2	SYBR	1	61782	71.5
1	R	3	2	SYBR	1	61797	71.7
1	R	3	2	SYBR	1	61632	71.7
1	R	3	2	SYBR	1	61655	71.9
1	R	3	2	SYBR	1	61692	72
1	R	3	2	SYBR	1	61651	72.2
1	R	3	2	SYBR	1	61662	72.2
1	R	3	2	SYBR	1	61558	72.5
1	R	3	2	SYBR	1	61557	72.5
1	R	3	2	SYBR	1	61525	72.7
1	R	3	2	SYBR	1	61513	72.7
1	R	3	2	SYBR	1	61391	72.9
1	R	3	2	SYBR	1	61542	73
1	R	3	2	SYBR	1	61419	73.2
1	R	3	2	SYBR	1	61299	73.2
1	R	3	2	SYBR	1	61339	73.4
1	R	3	2	SYBR	1	61289	73.5
1	R	3	2	SYBR	1	61253	73.7
1	R	3	2	SYBR	1	61250	73.7
1	R	3	2	SYBR	1	61143	73.9
1	R	3	2	SYBR	1	61169	74
1	R	3	2	SYBR	1	61127	74
1	R	3	2	SYBR	1	61177	74.2
1	R	3	2	SYBR	1	61037	74.4
1	R	3	2	SYBR	1	61015	74.5
1	R	3	2	SYBR	1	61020	74.5
1	R	3	2	SYBR	1	61045	74.7
1	R	3	2	SYBR	1	60917	74.9
1	R	3	2	SYBR	1	60945	75
1	R	3	2	SYBR	1	60856	75
1	R	3	2	SYBR	1	60925	75.2
1	R	3	2	SYBR	1	60833	75.2
1	R	3	2	SYBR	1	60739	75.5
1	R	3	2	SYBR	1	60753	75.5
1	R	3	2	SYBR	1	60737	75.7
1	R	3	2	SYBR	1	60722	75.7
1	R	3	2	SYBR	1	60675	75.9
1	R	3	2	SYBR	1	60580	76
1	R	3	2	SYBR	1	60610	76.2
1	R	3	2	SYBR	1	60550	76.2
1	R	3	2	SYBR	1	60511	76.4
1	R	3	2	SYBR	1	60390	76.5
1	R	3	2	SYBR	1	60475	76.7
1	R	3	2	SYBR	1	60418	76.7
1	R	3	2	SYBR	1	60305	76.9
1	R	3	2	SYBR	1	60362	77
1	R	3	2	SYBR	1	60309	77
1	R	3	2	SYBR	1	60297	77.2
1	R	3	2	SYBR	1	60245	77.4
1	R	3	2	SYBR	1	60269	77.5
1	R	3	2	SYBR	1	60210	77.5
1	R	3	2	SYBR	1	60116	77.7
1	R	3	2	SYBR	1	60150	77.9
1	R	3	2	SYBR	1	59988	78
1	R	3	2	SYBR	1	59893	78
1	R	3	2	SYBR	1	59933	78.2
1	R	3	2	SYBR	1	60020	78.4
