Well 	Well Type 	  dR Last 	Threshold (dR) 	Ct (dR) 	Quantity (copies) 	RSq (dR) 	Slope (dR) 	Efficiency (%) 	
  A1 	  Unknown 	39466.020 	      5504.753 	  12.83 	       6.108e+007 	   0.979 	    -3.102 	         110.1 	
  A2 	      NTC 	37214.502 	      5504.753 	  31.26 	       6.985e+001 	   0.979 	    -3.102 	         110.1 	
  A3 	 Standard 	44779.578 	      5504.753 	  10.28 	        1.95e+008 	   0.979 	    -3.102 	         110.1 	
  A4 	  Unknown 	38231.798 	      5504.753 	  12.62 	       7.110e+007 	   0.979 	    -3.102 	         110.1 	
  A5 	  Unknown 	40231.173 	      5504.753 	  25.59 	       4.672e+003 	   0.979 	    -3.102 	         110.1 	
  B1 	  Unknown 	38260.891 	      5504.753 	  13.02 	       5.283e+007 	   0.979 	    -3.102 	         110.1 	
  B2 	  Unknown 	40076.994 	      5504.753 	  14.51 	       1.751e+007 	   0.979 	    -3.102 	         110.1 	
  B3 	 Standard 	39870.910 	      5504.753 	  13.93 	        1.95e+007 	   0.979 	    -3.102 	         110.1 	
  B4 	  Unknown 	40036.066 	      5504.753 	  13.25 	       4.446e+007 	   0.979 	    -3.102 	         110.1 	
  B5 	  Unknown 	39468.417 	      5504.753 	  13.09 	       5.033e+007 	   0.979 	    -3.102 	         110.1 	
  C1 	  Unknown 	 2749.316 	      5504.753 	  No Ct 	            No Ct 	   0.979 	    -3.102 	         110.1 	
  C2 	  Unknown 	39138.626 	      5504.753 	  13.20 	       4.637e+007 	   0.979 	    -3.102 	         110.1 	
  C3 	 Standard 	42491.557 	      5504.753 	  17.93 	        1.95e+006 	   0.979 	    -3.102 	         110.1 	
  C4 	  Unknown 	35606.327 	      5504.753 	  15.05 	       1.174e+007 	   0.979 	    -3.102 	         110.1 	
  C5 	  Unknown 	36253.745 	      5504.753 	  13.75 	       3.081e+007 	   0.979 	    -3.102 	         110.1 	
  D1 	  Unknown 	39931.041 	      5504.753 	  13.15 	       4.804e+007 	   0.979 	    -3.102 	         110.1 	
  D2 	  Unknown 	37564.034 	      5504.753 	  15.94 	       6.060e+006 	   0.979 	    -3.102 	         110.1 	
  D3 	 Standard 	37821.827 	      5504.753 	  20.86 	        1.95e+005 	   0.979 	    -3.102 	         110.1 	
  D4 	  Unknown 	33258.156 	      5504.753 	  10.54 	       3.346e+008 	   0.979 	    -3.102 	         110.1 	
  D5 	  Unknown 	33847.636 	      5504.753 	  10.78 	       2.795e+008 	   0.979 	    -3.102 	         110.1 	
  E1 	  Unknown 	44628.635 	      5504.753 	  13.27 	       4.396e+007 	   0.979 	    -3.102 	         110.1 	
  E2 	  Unknown 	45237.641 	      5504.753 	  25.31 	       5.760e+003 	   0.979 	    -3.102 	         110.1 	
  E3 	 Standard 	39088.875 	      5504.753 	  24.67 	        1.95e+004 	   0.979 	    -3.102 	         110.1 	
  E4 	  Unknown 	37563.638 	      5504.753 	  12.08 	       1.066e+008 	   0.979 	    -3.102 	         110.1 	
  E5 	      NTC 	36460.525 	      5504.753 	  31.77 	       4.773e+001 	   0.979 	    -3.102 	         110.1 	
  F1 	  Unknown 	38127.036 	      5504.753 	  13.22 	       4.568e+007 	   0.979 	    -3.102 	         110.1 	
  F2 	  Unknown 	39388.438 	      5504.753 	  13.00 	       5.354e+007 	   0.979 	    -3.102 	         110.1 	
  F3 	 Standard 	38225.677 	      5504.753 	  28.09 	        1.95e+003 	   0.979 	    -3.102 	         110.1 	
  F4 	  Unknown 	35836.945 	      5504.753 	  12.34 	       8.735e+007 	   0.979 	    -3.102 	         110.1 	
  F5 	  Unknown 	38055.370 	      5504.753 	  14.38 	       1.929e+007 	   0.979 	    -3.102 	         110.1 	
  G1 	  Unknown 	42825.625 	      5504.753 	  15.33 	       9.510e+006 	   0.979 	    -3.102 	         110.1 	
  G2 	  Unknown 	37613.929 	      5504.753 	  13.81 	       2.942e+007 	   0.979 	    -3.102 	         110.1 	
  G3 	 Standard 	37137.472 	      5504.753 	  30.28 	        1.95e+002 	   0.979 	    -3.102 	         110.1 	
  G4 	  Unknown 	38332.526 	      5504.753 	  26.67 	       2.099e+003 	   0.979 	    -3.102 	         110.1 	
  G5 	  Unknown 	35514.694 	      5504.753 	  12.93 	       5.656e+007 	   0.979 	    -3.102 	         110.1 	
  H1 	  Unknown 	38965.676 	      5504.753 	  11.18 	       2.080e+008 	   0.979 	    -3.102 	         110.1 	
  H2 	  Unknown 	36870.262 	      5504.753 	  11.56 	       1.569e+008 	   0.979 	    -3.102 	         110.1 	
  H3 	 Standard 	38873.860 	      5504.753 	  30.92 	        1.95e+001 	   0.979 	    -3.102 	         110.1 	
  H4 	  Unknown 	-3128.679 	      5504.753 	  18.32 	       1.036e+006 	   0.979 	    -3.102 	         110.1 	
  H5 	  Unknown 	40737.447 	      5504.753 	  16.83 	       3.136e+006 	   0.979 	    -3.102 	         110.1 	
