ASVID1	colorTips	ASVID	iso	ScientificName_unique	labelNames
34F-27F_B04.ab1	red	34F-27F_B04.ab1	34F	Collimonas_isolate	Collimonas_isolate--34F-27F_B04.ab1
3bb0bf5132b0f988573de9bd6059b22c	black	3bb0bf5132b0f988573de9bd6059b22c	3bb0bf5132b0f988573de9bd6059b22c	f__Comamonadaceae_unknown.4	f__Comamonadaceae_unknown.4
BTB_47-27F_D04.ab1	red	BTB_47-27F_D04.ab1	BTB_47	Delftia_isolate.1	Delftia_isolate.1--BTB_47-27F_D04.ab1
50A-27F_H03.ab1	red	50A-27F_H03.ab1	50A	Delftia_isolate	Delftia_isolate--50A-27F_H03.ab1
d32e579b3ae7b2aae8d5bf9f027c29af	black	d32e579b3ae7b2aae8d5bf9f027c29af	d32e579b3ae7b2aae8d5bf9f027c29af	g__Delftia_unknown.6	g__Delftia_unknown.6
BTB_28-27F_B09.ab1	blue	BTB_28-27F_B09.ab1	BTB_28	Comamonas_isolate	Comamonas_isolate--BTB_28-27F_B09.ab1
33D-27F_G07.ab1	red	33D-27F_G07.ab1	33D	Methylobacterium_isolate	Methylobacterium_isolate--33D-27F_G07.ab1
36E-27F_G03.ab1	blue	36E-27F_G03.ab1	36E	Methylobacterium_isolate.1	Methylobacterium_isolate.1--36E-27F_G03.ab1
35A-27F_C01.ab1	red	35A-27F_C01.ab1	35A	Phyllobacterium_isolate	Phyllobacterium_isolate--35A-27F_C01.ab1
dd18c11c9ae50bd4f90b015e8c78de58	black	dd18c11c9ae50bd4f90b015e8c78de58	dd18c11c9ae50bd4f90b015e8c78de58	g__Sanguibacter_unknown	g__Sanguibacter_unknown
40B-27F_C12.ab1	blue	40B-27F_C12.ab1	40B	Micrococcales_isolate	Micrococcales_isolate--40B-27F_C12.ab1
35B-27F_H08.ab1	blue	35B-27F_H08.ab1	35B	Frondihabitans_isolate	Frondihabitans_isolate--35B-27F_H08.ab1
37E-27F_E10.ab1	red	37E-27F_E10.ab1	37E	Microbacterium_isolate	Microbacterium_isolate--37E-27F_E10.ab1
40A-27F_A08.ab1	blue	40A-27F_A08.ab1	40A	Microbacterium_isolate.1	Microbacterium_isolate.1--40A-27F_A08.ab1
bc56a7361c9a3b49f1f1c51874321e12	black	bc56a7361c9a3b49f1f1c51874321e12	bc56a7361c9a3b49f1f1c51874321e12	g__Kocuria_unknown.4	g__Kocuria_unknown.4
47C-27F_C08.ab1	blue	47C-27F_C08.ab1	47C	Kocuria_isolate	Kocuria_isolate--47C-27F_C08.ab1
36G-27F_G06.ab1	blue	36G-27F_G06.ab1	36G	Arthrobacter_isolate	Arthrobacter_isolate--36G-27F_G06.ab1
36A-27F_R_E02.ab1	blue	36A-27F_R_E02.ab1	36A	Rhodococcus_isolate	Rhodococcus_isolate--36A-27F_R_E02.ab1
24L-27F_B09.ab1	blue	24L-27F_B09.ab1	24L	Mucilaginibacter_isolate	Mucilaginibacter_isolate--24L-27F_B09.ab1
4ea59d33f520370432fb7cb625b56c12	black	4ea59d33f520370432fb7cb625b56c12	4ea59d33f520370432fb7cb625b56c12	s__Paenibacillus_lautus.1	s__Paenibacillus_lautus.1
6a42f6b31b1958a4fd7c015ad7affbf4	black	6a42f6b31b1958a4fd7c015ad7affbf4	6a42f6b31b1958a4fd7c015ad7affbf4	g__Paenibacillus_unknown.4	g__Paenibacillus_unknown.4
37H-27F_E04.ab1	red	37H-27F_E04.ab1	37H	Paenibacillus_isolate	Paenibacillus_isolate--37H-27F_E04.ab1
bdf8a26094624622d68509a87fa75ba7	black	bdf8a26094624622d68509a87fa75ba7	bdf8a26094624622d68509a87fa75ba7	g__Bacillus_unknown.40	g__Bacillus_unknown.40
20A-27F_G06.ab1	red	20A-27F_G06.ab1	20A	Bacillus_isolate	Bacillus_isolate--20A-27F_G06.ab1
24D-27F_E05.ab1	blue	24D-27F_E05.ab1	24D	Viridibacillus_isolate	Viridibacillus_isolate--24D-27F_E05.ab1
1a536b0e1f97503816f150ed89839a0f	black	1a536b0e1f97503816f150ed89839a0f	1a536b0e1f97503816f150ed89839a0f	f__Planococcaceae_unknown	f__Planococcaceae_unknown
fa0bfc5b671a0016df8fd1840f314bab	black	fa0bfc5b671a0016df8fd1840f314bab	fa0bfc5b671a0016df8fd1840f314bab	g__Flavobacterium_unknown.57	g__Flavobacterium_unknown.57
e61a7bc42a30f0ca4f170b5e3f6cad0c	black	e61a7bc42a30f0ca4f170b5e3f6cad0c	e61a7bc42a30f0ca4f170b5e3f6cad0c	g__Chryseobacterium_unknown.92	g__Chryseobacterium_unknown.92
20D-27F_E02.ab1	red	20D-27F_E02.ab1	20D	Chryseobacterium_isolate	Chryseobacterium_isolate--20D-27F_E02.ab1
50B-27F_D11.ab1	red	50B-27F_D11.ab1	50B	Chryseobacterium_isolate.1	Chryseobacterium_isolate.1--50B-27F_D11.ab1
