sampleID_qPCR	ISO_13C	ISO_20C	ISO_20D	ISO_21C	ISO_24D	ISO_25A	ISO_25C	ISO_32G	ISO_33D	ISO_34B	ISO_35B	ISO_35E	ISO_36A	ISO_40A	ISO_45E	ISO_47C	ISO_49C	ISO_50A	ISO_50B	ISO_54G	ISO_BTB_28	ISO_BTB_45	ISO_BTB_47	ISO_BTB_59	obsRich_mergedASV	shannon_mergedASV	pielou_mergedASV
R1_J1_Pre	0	0	0	0	1475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA
R1_J15_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R1_J16_Bd	0	0	0	0	0.978219598909254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	NA	NA
R1_J21_Bd	0	0	0	0	0.986891735444598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	NA	NA
R1_J22_Bd	0.896948433420366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	NA	NA
R1_J23_Bd	0	0	0	0	0	0	0	0.281702073581429	0	0	0	0	0	0	0	0	0	0.235422447207337	0	0	0	0	0	0.331878931650181	3	NA	NA
R1_J24_Pre	0	0	0	0	14503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA
R1_J26_Bd	0	0.167279411764706	0	0	0	0	0.0264625080801551	0.333104395604396	0	0	0.0999515190691661	0	0	0	0.0362798965740142	0	0.019715578539108	0	0	0.0808217517776341	0.223800096961862	0	0	0	8	NA	NA
R1_J4_Bd	0	0	0	0	0	0	0	0.481459453868432	0	0	0	0	0	0	0	0	0	0.297372776168804	0.0922372776168804	0	0	0	0.098960488208523	0	4	NA	NA
R1_J5_Pre	0	13133	0	0	0	0	61271	89779	0	0	7194	0	0	0	5361	0	2342	0	0	13021	78740	0	0	0	8	1.56914284854948	0.754598202016239
R1_J7_Bd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA
R1_J8_Pre	0	0	0	0	0	0	0	265292	0	0	0	0	0	0	0	0	0	193627	0	0	0	0	9360	0	3	0.765286856735283	0.696594116622407
R1_J9_Pre	0	0	0	0	0	0	0	6771	0	0	0	0	0	0	0	0	0	6124	0	0	0	0	22480	0	3	0.908185269404885	0.826665857256988
R10_J10_Pre	0	0	0	0	0	0	0	1038187	0	0	0	0	0	3979	0	0	0	0	0	0	0	0	0	168274	3	0.424762800264845	0.386635762812922
R10_J16_Bd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.988025442477876	1	NA	NA
R10_J18_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294189	1	0	NA
R10_J21_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	13	0	0	0	5	3	0.957555696374223	0.871604756519796
R10_J22_Pre	0	0	0	0	0	0	8055	490035	0	0	0	0	0	0	11612	0	0	0	0	160374	0	0	0	145372	5	1.03944123027268	0.645841148790037
R10_J23_Bd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA
R10_J24_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R10_J25_Bd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.976864952268416	0	0.0165428029478529	2	NA	NA
R10_J27_Bd	0	0	0	0	0	0	0	0.678524089052398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.296940514512944	2	NA	NA
R10_J3_Bd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023440657416139	0.0455880371817325	0	0.34993937761013	0	0.57219453051327	4	NA	NA
R10_J4_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40204	0	23741	2	0.659629290050744	0.951643905581317
R10_J5_Pre	1710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7473	2706	0	14213	0	140227	5	0.60757392990776	0.377506907979364
R10_J6_Bd	0	0	0	0	0	0	0	0.420617477760335	0	0	0	0	0	0	0.0412087912087912	0	0	0	0	0.197043432757718	0	0	0	0.325457875457875	4	NA	NA
R11_J10_Pre	0	0	624974	0	0	0	0	417963	0	0	0	0	0	0	0	0	0	0	0	209678	0	0	0	82550	4	1.1817124728095	0.852425362139449
R11_J11_Bd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.398167878561543	0	0	0	0	0	0.598383163814503	2	NA	NA
R11_J13_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104914	0	0	0	0	0	238919	2	0.615149049178106	0.887472482656815
R11_J15_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R11_J16_Pre	0	0	0	0	0	2674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA
R11_J2_Bd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA
R11_J21_Bd	0.202984375522768	0	0	0	0	0.758272274080765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	NA	NA
R11_J24_Bd	0	0	0.325259515570934	0	0	0	0	0.441522491349481	0	0	0	0	0	0	0	0	0	0	0	0.100653594771242	0	0	0	0.130565167243368	4	NA	NA
R11_J25_Bd	0	0	0.675844260370905	0	0	0.191086220195178	0	0.123142962540662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	NA	NA
R11_J26_Bd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.323131253678634	0	0	0	0	0	0.53697221275673	2	NA	NA
R11_J28_Pre	0	0	252078	0	0	42589	0	49957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.767090349365763	0.698235726359602
R11_J4_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65664	0	0	0	0	0	100374	2	0.671134537189557	0.968242468572683
R11_J6_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144500	1	0	NA
R11_J8_Bd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.998228158647949	1	NA	NA
R12_J1_Pre	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA
R12_J12_Bd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA
R12_J17_Pre	2545	0	0	0	0	0	0	0	0	13383	0	0	0	0	0	0	0	52765	0	0	0	0	0	35128	4	1.06563527204192	0.76869336118562
R12_J19_Bd	0.3247308934338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.645936490850377	0	0	0	0	0	0	2	NA	NA
R12_J20_Bd	0.131991233054631	0	0	0	0	0.839164434342614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	NA	NA
R12_J22_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R12_J23_Bd	0	0	0	0	0	0	0	0.598413877374991	0	0	0	0	0	0	0	0	0	0	0	0.233653592735463	0	0	0	0.158348707381939	3	NA	NA
R12_J27_Pre	0	0	0	0	0	0	0	281914	0	0	0	0	0	0	0	0	0	0	0	81803	0	0	0	95268	3	0.933118282753182	0.849360864044619
R12_J3_Bd	0.0135455369942366	0	0	0	0	0	0	0	0	0.151107340335274	0	0	0	0	0	0	0	0.577426055410901	0.0173780755390422	0	0	0	0	0.230010824727188	5	NA	NA
R12_J5_Bd	0.899054524774294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	NA	NA
R12_J7_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	672	0	0	0	0	0	0	1	0	NA
R12_J9_Pre	0	0	0	0	0	1506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA
R13_J29_Bd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA
R2_J10_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R2_J11_Bd	0.0486852382192137	0	0	0	0	0	0	0	0	0	0	0	0	0	0.163499088778964	0.358005727675085	0.0754491017964072	0	0	0.351236657120542	0	0	0	0	5	NA	NA
R2_J12_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10687	0	4437	0	0	20426	0	0	0	0	3	0.939430460219812	0.855106455580176
R2_J13_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88722	44110	39173	0	0	176972	0	0	0	0	4	1.19943952179081	0.865212724966914
R2_J14_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10170	0	0	1	0	NA
R2_J17_Pre	0	50579	0	0	0	0	0	177165	0	0	30072	0	0	0	0	0	0	0	0	50345	0	0	0	0	4	1.13790598479602	0.820825660631545
R2_J18_Bd	0	0	0	0	0	0	0	0	0.518622819767442	0	0	0	0	0	0	0	0	0	0	0	0	0.406772347383721	0.0570267078488372	0	3	NA	NA
R2_J19_Bd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA
R2_J2_Bd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.262160348876216	0	0.12550318685005	0	0	0.573884602482388	0	0	0	0	3	NA	NA
R2_J20_Pre	0	0	0	0	0	0	0	6592	289348	0	0	0	0	0	0	0	0	0	0	0	0	278040	10825	5520	5	0.871323898517978	0.541383977465894
R2_J25_Bd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20107585651411	0	0	0.77188389954837	0	0	2	NA	NA
R2_J28_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19616	0	0	67691	0	0	2	0.532765842796815	0.768618639357995
R2_J3_Bd	0	0.215112700413284	0	0	0	0	0	0.48313157663335	0	0	0.129261072192748	0	0	0	0	0	0	0	0	0.166485916112202	0	0	0	0	4	NA	NA
R2_J6_Bd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.983673308032891	0	0	1	NA	NA
R3_J15_Pre	0	0	0	0	0	0	0	189219	0	0	0	0	0	0	53927	0	0	0	0	145787	0	0	0	0	3	0.992292629567187	0.903223675724747
R3_J16_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R3_J19_Bd	0	0.195318258203367	0	0	0	0	0	0.425484241870338	0	0	0.11819334296412	0	0	0	0.0807217193903122	0	0	0	0	0.176154957398508	0	0	0	0	5	NA	NA
R3_J20_Bd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA
R3_J21_Pre	0	72784	0	0	0	0	0	157594	0	0	45585	0	0	0	32072	2101	0	0	0	59004	0	0	0	0	6	1.47658278042219	0.824096540736211
R3_J25_Bd	0	0	0	0	0	0	0	0.449775581921297	0	0	0	0	0	0	0.131101910163182	0	0	0	0	0.411815872794962	0	0	0	0	3	NA	NA
R3_J28_Pre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35123	0	0	0	0	0	0	0	0	0	1	0	NA
