SampleID	sampleID_qPCR	JarID	DateStart	Rep	Inhibitory	RichLevel	introRich	Type	volPellet	cClean	CV	CV_sd	qPCR_log10	qPCR_sd	qPCR_lwr_95_total	qPCR_upr_95_total	Micro_Bd_density	Micro_Bd_density_sd	Micro_Bd_truezero	clouds_present	pinpricks_present	Micro_Bd_meansize	Micro_Bd_meansize_sd	Micro_Bd_medsize	ISO_13C	ISO_20A	ISO_20D	ISO_2E	ISO_2F	ISO_2H	ISO_32E	ISO_33B	ISO_33D	ISO_34B	ISO_34F	ISO_35A	ISO_35E	ISO_37E	ISO_37H	ISO_45D	ISO_50A	ISO_50B	ISO_BTB_45	ISO_BTB_47	ISO_20C	ISO_21C	ISO_24C	ISO_24D	ISO_24L	ISO_25A	ISO_25C	ISO_32G	ISO_35B	ISO_36A	ISO_36E	ISO_36G	ISO_40A	ISO_40B	ISO_45E	ISO_47C	ISO_49C	ISO_54G	ISO_BTB_28	ISO_BTB_59	obsRich_mergedASVfilt	shannon_mergedASVfilt	pielou_mergedASVfilt
Con_2020-08-31_0_Rep1	R1_J7_Bd	7	2020-08-31	Rep1	Con	0	0	Bd	1	TRUE	NA	NA	2.63392835170919	0.481944419312679	1.93258184497882	3.33527485843955	67.5629294637612	67.126264473148	FALSE	FALSE	TRUE	10.4610010919148	3.35322492759411	10.8452359295429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA
Con_2020-08-31_0_Rep1	R1_J15_Pre	15	2020-08-31	Rep1	Con	0	0	CV	1	TRUE	0.0516111111111111	0.00169148192751537	2.34346961453486	0.0686058496848972	1.6421231078045	3.04481612126522	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inhib_2020-08-31_1_Rep1	R1_J23_Bd	23	2020-08-31	Rep1	Inhib	1	1	Bd	1	TRUE	NA	NA	1.77913255572576	0.548248248642037	1.0777860489954	2.48047906245612	3.00279686505605	11.2354370711186	FALSE	FALSE	FALSE	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA
Inhib_2020-08-31_1_Rep1	R1_J9_Pre	9	2020-08-31	Rep1	Inhib	1	1	CV	1	TRUE	0.0879444444444444	0.00367801274845232	4.55715859866234	0.036668879805894	3.85581209193198	5.25850510539271	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA
Inhib_2020-08-31_3_Rep1	R1_J4_Bd	4	2020-08-31	Rep1	Inhib	3	3	Bd	1	TRUE	NA	NA	3.62398795070118	0.369692004078776	2.92264144397081	4.32533445743154	0.400372915340807	1.55063763338746	FALSE	FALSE	TRUE	9.61740796150933	5.98097974681865	9.09916841182912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.297372776168804	0	0	0.098960488208523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	NA	NA
Inhib_2020-08-31_3_Rep1	R1_J8_Pre	8	2020-08-31	Rep1	Inhib	3	3	CV	1	TRUE	0.430611111111111	0.00573246117397328	5.67150856661325	0.040282806815253	4.97016205988288	6.37285507334361	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193627	0	0	9360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.186902038013045	0.26964264337346
Inhib_2020-08-31_10_Rep1	R1_J22_Bd	22	2020-08-31	Rep1	Inhib	10	9	Bd	1	TRUE	NA	NA	3.2692433789418	0.342488400753265	2.56789687221144	3.97058988567216	90.4592555598135	157.027902214312	FALSE	FALSE	TRUE	10.1080026504538	3.83523210996753	8.84573358690715	0.896948433420366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	NA	NA
Non_2020-08-31_1_Rep1	R1_J21_Bd	21	2020-08-31	Rep1	Non	1	1	Bd	1	TRUE	NA	NA	4.01927531772545	0.161917602385093	3.31792881099508	4.72062182445581	1681.56624443139	1404.29860118009	FALSE	TRUE	TRUE	10.9069624854397	2.25779855963747	10.9731897277004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA
Non_2020-08-31_1_Rep1	R1_J1_Pre	1	2020-08-31	Rep1	Non	1	1	CV	1	FALSE	0.0316111111111111	0.000927960727138337	3.2148700925713	0.0572005421598683	2.51352358584093	3.91621659930166	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Non_2020-08-31_3_Rep1	R1_J16_Bd	16	2020-08-31	Rep1	Non	3	3	Bd	1	TRUE	NA	NA	4.17498400006562	0.288921311415825	3.47363749333526	4.87633050679599	1922.67971122552	1164.5057075923	FALSE	FALSE	FALSE	9.27252038495397	1.82472922489103	9.32971797993778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.978219598909254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	NA	NA
Non_2020-08-31_3_Rep1	R1_J24_Pre	24	2020-08-31	Rep1	Non	3	3	CV	1	TRUE	0.0346111111111111	0.000927960727138337	4.17130762024905	0.0180521956753628	3.46996111351869	4.87265412697942	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA
Non_2020-08-31_10_Rep1	R1_J26_Bd	26	2020-08-31	Rep1	Non	10	9	Bd	1	TRUE	NA	NA	3.71160353899176	0.3749789120059	3.01025703226139	4.41295004572212	17.2660819740723	48.8358545935573	FALSE	TRUE	TRUE	13.5874316583092	3.46339476430156	13.6082912897549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.167279411764706	0	0	0	0	0	0.0264625080801551	0	0.0999515190691661	0	0	0	0	0	0	0	0.019715578539108	0	0.223800096961862	0	5	NA	NA
Non_2020-08-31_10_Rep1	R1_J5_Pre	5	2020-08-31	Rep1	Non	10	9	CV	1	TRUE	0.0289444444444444	0.00123603308118261	5.43446244477172	0.056235296294659	4.73311593804135	6.13580895150208	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13133	0	0	0	0	0	61271	0	7194	0	0	0	0	0	0	0	2342	0	78740	0	5	1.12112206455592	0.69659230461419
Con_2020-09-28_0_Rep10	R10_J23_Bd	23	2020-09-28	Rep10	Con	0	0	Bd	1	TRUE	NA	NA	4.1144697350355	0.23723271575282	3.41312322830514	4.81581624176586	1134.05628270284	718.524386574095	FALSE	FALSE	TRUE	7.64616646977291	1.75476047940568	7.65182137552806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA
Con_2020-09-28_0_Rep10	R10_J24_Pre	24	2020-09-28	Rep10	Con	0	0	CV	1	TRUE	0.0339444444444444	0.00123603308118261	2.33615468305341	0.361016317977541	1.63480817632304	3.03750118978377	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inhib_2020-09-28_1_Rep10	R10_J16_Bd	16	2020-09-28	Rep10	Inhib	1	1	Bd	1	TRUE	NA	NA	3.04402137385289	0.434910807859691	2.34267486712252	3.74536788058325	0	0	FALSE	FALSE	FALSE	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA
Inhib_2020-09-28_1_Rep10	R10_J18_Pre	18	2020-09-28	Rep10	Inhib	1	1	CV	1	TRUE	0.535611111111111	0.00136422546197874	5.46980854197349	0.135381268857513	4.76846203524312	6.17115504870385	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inhib_2020-09-28_3_Rep10	R10_J25_Bd	25	2020-09-28	Rep10	Inhib	3	3	Bd	1	TRUE	NA	NA	3.02925450777535	0.443682366906266	2.32790800104498	3.73060101450571	0	0	FALSE	FALSE	FALSE	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.976864952268416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	NA	NA
Inhib_2020-09-28_3_Rep10	R10_J4_Pre	4	2020-09-28	Rep10	Inhib	3	3	CV	1	TRUE	0.564277777777778	0.00169148192751537	4.80854197349042	0.0583180850463124	4.10719546676006	5.50988848022079	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA
Inhib_2020-09-28_10_Rep10	R10_J3_Bd	3	2020-09-28	Rep10	Inhib	10	10	Bd	1	TRUE	NA	NA	2.48343649007777	0.391973470207919	1.78208998334741	3.18478299680813	0	0	TRUE	FALSE	FALSE	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023440657416139	0.34993937761013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	NA	NA
Inhib_2020-09-28_10_Rep10	R10_J5_Pre	5	2020-09-28	Rep10	Inhib	10	10	CV	1	TRUE	0.369277777777778	0.00169148192751537	5.22385861561119	0.0124967325099242	4.52251210888082	5.92520512234155	NA	NA	NA	NA	NA	NA	NA	NA	1710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7473	14213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.858525206648615	0.781463320139481
Non_2020-09-28_1_Rep10	R10_J21_Pre	21	2020-09-28	Rep10	Non	1	1	CV	1	TRUE	0.00894444444444445	0.00441902452785429	1.43189508512358	0.0763832184517643	0.730548578393212	2.13324159185394	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	NA
Non_2020-09-28_3_Rep10	R10_J27_Bd	27	2020-09-28	Rep10	Non	3	3	Bd	1	FALSE	NA	NA	1.56330040031687	0.518383913876077	0.86195389358651	2.26464690704724	0	0	TRUE	FALSE	FALSE	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.678524089052398	0	0	0	0	0	0	0	0	0	0	0	0.296940514512944	2	NA	NA
Non_2020-09-28_3_Rep10	R10_J10_Pre	10	2020-09-28	Rep10	Non	3	3	CV	1	TRUE	1.02461111111111	0.0134484612915795	6.08394698085419	0.133298480105858	5.38260047412383	6.78529348758456	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1038187	0	0	0	0	3979	0	0	0	0	0	0	168274	3	0.424762800264845	0.386635762812922
Non_2020-09-28_10_Rep10	R10_J6_Bd	6	2020-09-28	Rep10	Non	10	10	Bd	1	TRUE	NA	NA	1.87663079778369	0.402290283593488	1.17528429105333	2.57797730451406	0	0	FALSE	FALSE	FALSE	5.247172410155	0.811674759701063	4.98636775676773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.420617477760335	0	0	0	0	0	0	0.0412087912087912	0	0	0.197043432757718	0	0.325457875457875	4	NA	NA
Non_2020-09-28_10_Rep10	R10_J22_Pre	22	2020-09-28	Rep10	Non	10	10	CV	1	FALSE	0.892611111111111	0.00498609176721716	5.91246550481089	0.00227358046979598	5.21111899808053	6.61381201154125	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8055	490035	0	0	0	0	0	0	11612	0	0	160374	0	145372	5	1.03944123027268	0.645841148790037
Con_2020-10-05_0_Rep11	R11_J2_Bd	2	2020-10-05	Rep11	Con	0	0	Bd	1	TRUE	NA	NA	2.50657598611867	0.492480656654701	1.80522947938831	3.20792249284903	1120.04323066591	942.573423922688	FALSE	FALSE	TRUE	10.4551369135387	3.10430829525725	10.3195053371134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA
Con_2020-10-05_0_Rep11	R11_J15_Pre	15	2020-10-05	Rep11	Con	0	0	CV	1	TRUE	0.00361111111111112	0.000927960727138337	1.53486278988903	0.148358351330635	0.833516283158665	2.23620929661939	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inhib_2020-10-05_1_Rep11	R11_J8_Bd	8	2020-10-05	Rep11	Inhib	1	1	Bd	1	TRUE	NA	NA	2.13294252537344	0.544475063658589	1.43159601864308	2.83428903210381	0	0	FALSE	FALSE	FALSE	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA
Inhib_2020-10-05_1_Rep11	R11_J6_Pre	6	2020-10-05	Rep11	Inhib	1	1	CV	1	TRUE	1.08994444444444	0.0147488229285519	5.16176680404828	0.253473009165274	4.46042029731792	5.86311331077864	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inhib_2020-10-05_3_Rep11	R11_J11_Bd	11	2020-10-05	Rep11	Inhib	3	2	Bd	1	TRUE	NA	NA	1.06940563843447	0.0783339205166373	0.368059131704105	1.77075214516483	0	0	FALSE	FALSE	FALSE	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.398167878561543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	NA	NA
Inhib_2020-10-05_3_Rep11	R11_J4_Pre	4	2020-10-05	Rep11	Inhib	3	2	CV	1	TRUE	1.05827777777778	0.0172586532241398	5.22179365167912	0.0356084475897633	4.52044714494875	5.92314015840948	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA
Inhib_2020-10-05_10_Rep11	R11_J26_Bd	26	2020-10-05	Rep11	Inhib	10	9	Bd	1	TRUE	NA	NA	1.99097631189426	0.297103708500587	1.2896298051639	2.69232281862463	6.40596664545291	14.9652886454455	FALSE	FALSE	TRUE	4.44112166461928	1.87550810965338	4.18994142537913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.323131253678634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	NA	NA
Inhib_2020-10-05_10_Rep11	R11_J13_Pre	13	2020-10-05	Rep11	Inhib	10	9	CV	1	FALSE	0.257277777777778	0.00456739653534824	5.539807666558	0.107888641465745	4.83846115982763	6.24115417328836	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA
Non_2020-10-05_1_Rep11	R11_J21_Bd	21	2020-10-05	Rep11	Non	1	1	Bd	1	TRUE	NA	NA	4.46014484849236	0.539687906750393	3.75879834176199	5.16149135522272	307.48639898174	548.725754914967	FALSE	FALSE	TRUE	4.43992846151146	0.985172766617229	4.45748559295506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.758272274080765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	NA	NA
Non_2020-10-05_1_Rep11	R11_J16_Pre	16	2020-10-05	Rep11	Non	1	1	CV	1	TRUE	0.0179444444444444	0.00123603308118261	3.43228516016659	0.0649134054226289	2.73093865343623	4.13363166689695	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA
Non_2020-10-05_3_Rep11	R11_J25_Bd	25	2020-10-05	Rep11	Non	3	3	Bd	1	TRUE	NA	NA	2.78541803853632	0.255593706408062	2.08407153180596	3.48676454526669	123.314857924968	264.20582377787	FALSE	FALSE	TRUE	4.06969259320176	0.891029522975887	4.01582922788634	0	0	0.675844260370905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.191086220195178	0	0.123142962540662	0	0	0	0	0	0	0	0	0	0	0	0	3	NA	NA
Non_2020-10-05_3_Rep11	R11_J28_Pre	28	2020-10-05	Rep11	Non	3	3	CV	1	TRUE	0.0399444444444444	0.00123603308118261	5.53893396604352	0.0545272964991393	4.83758745931315	6.24028047277388	NA	NA	NA	NA	NA	NA	NA	NA	0	0	252078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42589	0	49957	0	0	0	0	0	0	0	0	0	0	0	0	3	0.767090349365763	0.698235726359602
Non_2020-10-05_10_Rep11	R11_J24_Bd	24	2020-10-05	Rep11	Non	10	9	Bd	1	FALSE	NA	NA	1.4815668495322	0.339248657868674	0.780220342801838	2.18291335626256	0	0	TRUE	FALSE	FALSE	NA	NA	NA	0	0	0.325259515570934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.441522491349481	0	0	0	0	0	0	0	0	0	0.100653594771242	0	0.130565167243368	4	NA	NA
Non_2020-10-05_10_Rep11	R11_J10_Pre	10	2020-10-05	Rep11	Non	10	9	CV	1	TRUE	0.891611111111111	0.00899228064014412	6.12707984771346	0.129402820006801	5.4257333409831	6.82842635444383	NA	NA	NA	NA	NA	NA	NA	NA	0	0	624974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	417963	0	0	0	0	0	0	0	0	0	209678	0	82550	4	1.1817124728095	0.852425362139449
Con_2020-10-05_0_Rep12	R12_J12_Bd	12	2020-10-05	Rep12	Con	0	0	Bd	1	TRUE	NA	NA	4.76776562116309	0.415519647645119	4.06641911443273	5.46911212789345	235.344204298768	465.621231753151	FALSE	FALSE	FALSE	7.12935968990865	2.29185469096191	7.22194703886111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA
Con_2020-10-05_0_Rep12	R12_J22_Pre	22	2020-10-05	Rep12	Con	0	0	CV	1	TRUE	0.0199444444444444	0.000726483157256779	0.750217726636308	0.577027109799542	0.0488712199059443	1.45156423336667	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
