SampleID	B_JarID	DateStart	Rep	Inhibitory	RichLevel	introRich	CV	CV_sd	qPCR_log10_bact	qPCR_bact_sd	qPCR_bact_lwr_95_total	qPCR_bact_upr_95_total	B_obsRich	B_shannon	B_pielou	B_inhibRich	B_inhibReads	B_inhibProp	B_inhibRichFrac	A_JarID	qPCR_log10_Bd	qPCR_Bd_sd	qPCR_Bd_lwr_95_total	qPCR_Bd_upr_95_total	Micro_Bd_density	Micro_Bd_density_sd	Micro_Bd_truezero	clouds_present	pinpricks_present	Micro_Bd_meansize	Micro_Bd_meansize_sd	Micro_Bd_medsize	A_obsRich	shannon_mergedASV	pielou_mergedASV	A_inhibRich	inhibReads	inhibProp	A_inhibRichFrac
Con_2020-08-31_0_Rep1	15	2020-08-31	Rep1	Con	0	0	0.0516111111111111	0.00169148192751537	2.34346961453486	0.0686058496848972	1.6421231078045	3.04481612126522	0	0	0	0	0	0	0	7	2.63392835170919	0.481944419312679	1.93258184497882	3.33527485843955	67.5629294637612	67.126264473148	FALSE	FALSE	TRUE	10.4610010919148	3.35322492759411	10.8452359295429	0	NA	NA	0	0	0	0
Inhib_2020-08-31_1_Rep1	9	2020-08-31	Rep1	Inhib	1	1	0.0879444444444444	0.00367801274845232	4.55715859866234	0.036668879805894	3.85581209193198	5.25850510539271	3	0.908185269404885	0.826665857256988	2	28604	0.808593639575972	0.666666666666667	23	1.77913255572576	0.548248248642037	1.0777860489954	2.48047906245612	3.00279686505605	11.2354370711186	FALSE	FALSE	FALSE	NA	NA	NA	3	NA	NA	1	0.235422447207337	0.277292685360742	0.333333333333333
Inhib_2020-08-31_3_Rep1	8	2020-08-31	Rep1	Inhib	3	3	0.430611111111111	0.00573246117397328	5.67150856661325	0.040282806815253	4.97016205988288	6.37285507334361	3	0.765286856735283	0.696594116622407	2	202987	0.433474488499378	0.666666666666667	4	3.62398795070118	0.369692004078776	2.92264144397081	4.32533445743154	0.400372915340807	1.55063763338746	FALSE	FALSE	TRUE	9.61740796150933	5.98097974681865	9.09916841182912	4	NA	NA	3	0.488570541994207	0.503665395996055	0.75
Non_2020-08-31_1_Rep1	1	2020-08-31	Rep1	Non	1	1	0.0316111111111111	0.000927960727138337	3.2148700925713	0.0572005421598683	2.51352358584093	3.91621659930166	1	0	NA	0	0	0	0	21	4.01927531772545	0.161917602385093	3.31792881099508	4.72062182445581	1681.56624443139	1404.29860118009	FALSE	TRUE	TRUE	10.9069624854397	2.25779855963747	10.9731897277004	1	NA	NA	0	0	0	0
Non_2020-08-31_3_Rep1	24	2020-08-31	Rep1	Non	3	3	0.0346111111111111	0.000927960727138337	4.17130762024905	0.0180521956753628	3.46996111351869	4.87265412697942	1	0	NA	0	0	0	0	16	4.17498400006562	0.288921311415825	3.47363749333526	4.87633050679599	1922.67971122552	1164.5057075923	FALSE	FALSE	FALSE	9.27252038495397	1.82472922489103	9.32971797993778	1	NA	NA	0	0	0	0
Non_2020-08-31_10_Rep1	5	2020-08-31	Rep1	Non	10	9	0.0289444444444444	0.00123603308118261	5.43446244477172	0.056235296294659	4.73311593804135	6.13580895150208	8	1.56914284854948	0.754598202016239	0	0	0	0	26	3.71160353899176	0.3749789120059	3.01025703226139	4.41295004572212	17.2660819740723	48.8358545935573	FALSE	TRUE	TRUE	13.5874316583092	3.46339476430156	13.6082912897549	8	NA	NA	0	0	0	0
Con_2020-09-28_0_Rep10	24	2020-09-28	Rep10	Con	0	0	0.0339444444444444	0.00123603308118261	2.33615468305341	0.361016317977541	1.63480817632304	3.03750118978377	0	0	0	0	0	0	0	23	4.1144697350355	0.23723271575282	3.41312322830514	4.81581624176586	1134.05628270284	718.524386574095	FALSE	FALSE	TRUE	7.64616646977291	1.75476047940568	7.65182137552806	0	NA	NA	0	0	0	0
Inhib_2020-09-28_1_Rep10	18	2020-09-28	Rep10	Inhib	1	1	0.535611111111111	0.00136422546197874	5.46980854197349	0.135381268857513	4.76846203524312	6.17115504870385	1	0	NA	0	0	0	0	16	3.04402137385289	0.434910807859691	2.34267486712252	3.74536788058325	0	0	FALSE	FALSE	FALSE	NA	NA	NA	1	NA	NA	0	0	0	0
Inhib_2020-09-28_3_Rep10	4	2020-09-28	Rep10	Inhib	3	3	0.564277777777778	0.00169148192751537	4.80854197349042	0.0583180850463124	4.10719546676006	5.50988848022079	2	0.659629290050744	0.951643905581317	1	40204	0.628727812964266	0.5	25	3.02925450777535	0.443682366906266	2.32790800104498	3.73060101450571	0	0	FALSE	FALSE	FALSE	NA	NA	NA	2	NA	NA	1	0.976864952268416	0.983347419162989	0.5
Inhib_2020-09-28_10_Rep10	5	2020-09-28	Rep10	Inhib	10	10	0.369277777777778	0.00169148192751537	5.22385861561119	0.0124967325099242	4.52251210888082	5.92520512234155	5	0.60757392990776	0.377506907979364	3	23396	0.140660979143745	0.6	3	2.48343649007777	0.391973470207919	1.78208998334741	3.18478299680813	0	0	TRUE	FALSE	FALSE	NA	NA	NA	4	NA	NA	2	0.373380035026269	0.376709163563215	0.5
