ASVID	IsolateID	ASVRef	ScientificName_unique
ASV_bdf8a26094624622d68509a87fa75ba7	13C	REF_51	g__Bacillus_unknown.40
ASV_945184b6386c192c0066e0a98a154780	20C	REF_35	f__Enterobacteriaceae_unknown.2
ASV_e61a7bc42a30f0ca4f170b5e3f6cad0c	20D	REF_6	g__Chryseobacterium_unknown.92
ASV_82dece6e35540738ba450a0c3a90b5a0	21C	REF_105	g__Serratia_unknown.3
ASV_1a536b0e1f97503816f150ed89839a0f	24D	REF_101	f__Planococcaceae_unknown
ASV_43fddf1528d4a98928fd8c3a8ac23bfd	25A	REF_98	g__Pseudomonas_unknown.31
ASV_3481fa43fe5fba6aecdc7f9aae6ed9c0	25C	REF_16	f__Yersiniaceae_unknown.7
ASV_b65fae1900c461356f7ec33239edf811	2E	REF_81	g__Pseudomonas_unknown.562
ASV_255429c75a0f47d5a30c6ac429fa7c34	2F	REF_71	g__Pseudomonas_unknown.14
ASV_f13bd5edd93cef613314f42915c99a6f	2H	REF_25	g__Pseudomonas_unknown.582
ASV_dcba105f35d8ebc9e22269c7491ad3a7	32G	REF_38	g__Stenotrophomonas_unknown.46
ASV_fb67b286b0f781b0de13d50179318995	33D	REF_59	g__Stenotrophomonas_unknown.47
ASV_f8aeec3c1ff0f4e7e1c829e4db0618d9	34B	REF_14	g__Pseudomonas_unknown.585
ASV_213f59ff91f42554a6570145dbeff3da	34F	REF_55	g__Pseudomonas_unknown.11
ASV_5746145cd6809625dd78c312e6605cb4	34F	REF_56	g__Pseudomonas_unknown.42
ASV_ec2d6318d95da4328567972cc10eb066	34F	REF_57	g__Pseudomonas_unknown.580
ASV_033fc14444cc93f82f6464968d72c6b2	34F	REF_69	g__Pseudomonas_unknown.1
ASV_8b9ede8e4455abbacd8d8d787eb6383d	35B	REF_34	f__Enterobacteriaceae_unknown.1
ASV_1bc599cac5647c5c30496e93ca551557	35E	REF_49	g__Pseudomonas_unknown.9
ASV_dd18c11c9ae50bd4f90b015e8c78de58	36A	REF_44	g__Sanguibacter_unknown
ASV_4ea59d33f520370432fb7cb625b56c12	40A	REF_3	s__Paenibacillus_lautus.1
ASV_4850a238b7fbbd5ffa204c5a5a396f2c	45E	REF_28	g__Hafnia-Obesumbacterium_unknown.3
ASV_bc56a7361c9a3b49f1f1c51874321e12	47C	REF_29	g__Kocuria_unknown.4
ASV_205d983fc6a77838d0c5f28ea5485c28	49C	REF_27	f__Yersiniaceae_unknown.3
ASV_fa0bfc5b671a0016df8fd1840f314bab	50A	REF_11	g__Flavobacterium_unknown.57
ASV_6a42f6b31b1958a4fd7c015ad7affbf4	50B	REF_21	g__Paenibacillus_unknown.4
ASV_63afe8e6aac58bf0d670a82ca5bc574c	54G	REF_4	f__Yersiniaceae_unknown.13
ASV_3bb0bf5132b0f988573de9bd6059b22c	BTB_28	REF_17	f__Comamonadaceae_unknown.4
ASV_38c27ceaed634984c1225a82648cf571	BTB_45	REF_12	g__Pseudomonas_unknown.25
ASV_d32e579b3ae7b2aae8d5bf9f027c29af	BTB_47	REF_10	g__Delftia_unknown.6
ASV_5648dccee530d68ceb3e4d7d22cf8756	BTB_59	REF_114	g__Pseudomonas_unknown.41
