ASVID	ScientificName_unique	IsolateID	ASVRef
ASV_033fc14444cc93f82f6464968d72c6b2	g__Pseudomonas_unknown.1	34F	REF_69
ASV_1bc599cac5647c5c30496e93ca551557	g__Pseudomonas_unknown.9	35E	REF_49
ASV_213f59ff91f42554a6570145dbeff3da	g__Pseudomonas_unknown.11	34F	REF_55
ASV_255429c75a0f47d5a30c6ac429fa7c34	g__Pseudomonas_unknown.14	2F	REF_71
ASV_38c27ceaed634984c1225a82648cf571	g__Pseudomonas_unknown.25	BTB_45	REF_12
ASV_43fddf1528d4a98928fd8c3a8ac23bfd	g__Pseudomonas_unknown.31	25A	REF_98
ASV_4ea59d33f520370432fb7cb625b56c12	s__Paenibacillus_lautus.1	40A	REF_3
ASV_5648dccee530d68ceb3e4d7d22cf8756	g__Pseudomonas_unknown.41	BTB_59	REF_114
ASV_5746145cd6809625dd78c312e6605cb4	g__Pseudomonas_unknown.42	34F	REF_56
ASV_6a42f6b31b1958a4fd7c015ad7affbf4	g__Paenibacillus_unknown.4	50B	REF_21
ASV_8b9ede8e4455abbacd8d8d787eb6383d	f__Enterobacteriaceae_unknown.1	35B	REF_34
ASV_b65fae1900c461356f7ec33239edf811	g__Pseudomonas_unknown.562	2E	REF_81
ASV_bdf8a26094624622d68509a87fa75ba7	g__Bacillus_unknown.40	13C	REF_51
ASV_ec2d6318d95da4328567972cc10eb066	g__Pseudomonas_unknown.580	34F	REF_57
ASV_f13bd5edd93cef613314f42915c99a6f	g__Pseudomonas_unknown.582	2H	REF_25
ASV_f8aeec3c1ff0f4e7e1c829e4db0618d9	g__Pseudomonas_unknown.585	34B	REF_14
ASV_fa0bfc5b671a0016df8fd1840f314bab	g__Flavobacterium_unknown.57	50A	REF_11
ASV_fb67b286b0f781b0de13d50179318995	g__Stenotrophomonas_unknown.47	33D	REF_59
