SampleID	Rep	DateStart	RichLevel	Inhibitory	Inhib	CV_log10	qPCR_bact_log10	qPCR_bact_log10_inhib	Richness	Bd_micro_log10	Bd_qPCR_log10	inhibRich	inhibRichFrac	inhibReads	inhibProp	shannon
Con_2020-08-31_0_Rep1	Rep1	2020-08-31	0	0	0	-1.21034095895415	2.34346961453486	0	0	1.83608936525654	2.63392835170919	0	0	0	0	0
Inhib_2020-08-31_1_Rep1	Rep1	2020-08-31	1	1	1	-1.00902019280398	4.55715859866234	0.0918154880569727	3	0.602363550978521	1.77913255572576	2	0.666666666666667	0.235422447207337	0.277292685360742	0.908185269404885
Inhib_2020-08-31_3_Rep1	Rep1	2020-08-31	3	1	1	-0.355944555225652	5.67150856661325	0.172769420288023	3	0.146243702470185	3.62398795070118	2	0.666666666666667	0.488570541994207	0.503665395996055	0.765286856735283
Non_2020-08-31_1_Rep1	Rep1	2020-08-31	1	0	0	-1.38079068740384	3.2148700925713	0	1	3.22597217187055	4.01927531772545	0	0	0	0	0
Non_2020-08-31_3_Rep1	Rep1	2020-08-31	3	0	0	-1.35055695982463	4.17130762024905	0	1	3.28413276456945	4.17498400006562	0	0	0	0	0
Non_2020-08-31_10_Rep1	Rep1	2020-08-31	10	0	0	-1.40955448713665	5.43446244477172	0	8	1.26164540233233	3.71160353899176	0	0	0	0	1.56914284854948
Con_2020-09-28_0_Rep10	Rep10	2020-09-28	0	0	0	-1.35709602160563	2.33615468305341	0	0	3.05501739691349	4.1144697350355	0	0	0	0	0
Inhib_2020-09-28_1_Rep10	Rep10	2020-09-28	1	1	0	-0.263116794060689	5.46980854197349	0	1	0	3.04402137385289	0	0	0	0	0
Inhib_2020-09-28_3_Rep10	Rep10	2020-09-28	3	1	1	-0.240877988829771	4.80854197349042	0.2959770018944	2	0	3.02925450777535	1	0.5	0.976864952268416	0.983347419162989	0.659629290050744
Inhib_2020-09-28_10_Rep10	Rep10	2020-09-28	10	1	1	-0.421042602251628	5.22385861561119	0.13779072971834	5	0	2.48343649007777	3	0.6	0.373380035026269	0.376709163563215	0.60757392990776
Non_2020-09-28_1_Rep10	Rep10	2020-09-28	1	0	0	-1.72251812611081	1.43189508512358	NA	3	NA	NA	0	0	NA	NA	0.957555696374223
Non_2020-09-28_3_Rep10	Rep10	2020-09-28	3	0	0	0.0147771381638538	6.08394698085419	0	3	0	1.56330040031687	0	0	0	0	0.424762800264845
Non_2020-09-28_10_Rep10	Rep10	2020-09-28	10	0	0	-0.0444993246331316	5.91246550481089	0	5	0	1.87663079778369	0	0	0	0	1.03944123027268
Con_2020-10-05_0_Rep11	Rep11	2020-10-05	0	0	0	-1.86610642073877	1.53486278988903	0	0	3.04962236056789	2.50657598611867	0	0	0	0	0
Inhib_2020-10-05_1_Rep11	Rep11	2020-10-05	1	1	0	0.0413707505395715	5.16176680404828	0	1	0	2.13294252537344	0	0	0	0	0
Inhib_2020-10-05_3_Rep11	Rep11	2020-10-05	3	1	1	0.0286841943315136	5.22179365167912	0.145559320448034	2	0	1.06940563843447	1	0.5	0.398167878561543	0.399545895423684	0.671134537189557
Inhib_2020-10-05_10_Rep11	Rep11	2020-10-05	10	1	1	-0.573037148200741	5.539807666558	0.121602928027978	2	0.869581751768465	1.99097631189426	1	0.5	0.323131253678634	0.375688816855753	0.615149049178106
Non_2020-10-05_1_Rep11	Rep11	2020-10-05	1	0	0	-1.55370452004738	3.43228516016659	0.0802599867178078	1	2.4892360209547	4.46014484849236	0	0	0.202984375522768	0.211165639901153	0
