SampleID	ISO_13C	ISO_20C	ISO_20D	ISO_21C	ISO_24D	ISO_25A	ISO_25C	ISO_32G	ISO_33D	ISO_34B	ISO_35B	ISO_35E	ISO_36A	ISO_40A	ISO_45E	ISO_47C	ISO_49C	ISO_50A	ISO_50B	ISO_54G	ISO_BTB_28	ISO_BTB_45	ISO_BTB_47	ISO_BTB_59	maxinhib	suminhib	adjinhib	adjinhib_raw	maxCV	sumCV	adjCV	adjCV_raw	domIsoCV	aveMidpoint	maxMidpoint	Rep	DateStart	RichLevel	Inhibitory	Inhib	CV_log10	qPCR_bact_log10	qPCR_bact_log10_inhib	Richness	Bd_micro_log10	Bd_qPCR_log10	inhibRich	inhibRichFrac	inhibReads	inhibProp	shannon	CV
Con_2020-08-31_0_Rep1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Rep1	2020-08-31	0	0	0	-1.21034095895415	2.34346961453486	0	0	1.83608936525654	2.63392835170919	0	0	0	0	0	0.0516111111111105
Inhib_2020-08-31_1_Rep1	0	0	0	0	0	0	0	6771	0	0	0	0	0	0	0	0	0	6124	0	0	0	0	22480	0	6.5	7.5	4.30371731448763	152244	0.694333333333333	1.40933333333333	0.454260212014134	16069.455	0.427333333333333	7.60666666666667	15.27	Rep1	2020-08-31	1	1	1	-1.00902019280398	4.55715859866234	0.0918154880569727	3	0.602363550978521	1.77913255572576	2	0.666666666666667	0.235422447207337	0.277292685360742	0.908185269404885	0.0879444444444454
Inhib_2020-08-31_3_Rep1	0	0	0	0	0	0	0	265292	0	0	0	0	0	0	0	0	0	193627	0	0	0	0	9360	0	6.5	7.5	0.543408950646943	254467	0.694333333333333	1.40933333333333	0.520845377079334	243900.952333333	0.694333333333333	7.60666666666667	15.27	Rep1	2020-08-31	3	1	1	-0.355944555225652	5.67150856661325	0.172769420288023	3	0.146243702470185	3.62398795070118	2	0.666666666666667	0.488570541994207	0.503665395996055	0.765286856735283	0.430611111111111
Non_2020-08-31_1_Rep1	0	0	0	0	1475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.205	0.205	0.205	302.375	0.205	22.78	22.78	Rep1	2020-08-31	1	0	0	-1.38079068740384	3.2148700925713	0	1	3.22597217187055	4.01927531772545	0	0	0	0	0	0.0316111111111111
Non_2020-08-31_3_Rep1	0	0	0	0	14503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.205	0.205	0.205	2973.115	0.205	22.78	22.78	Rep1	2020-08-31	3	0	0	-1.35055695982463	4.17130762024905	0	1	3.28413276456945	4.17498400006562	0	0	0	0	0	0.0346111111111106
Non_2020-08-31_10_Rep1	0	13133	0	0	0	0	61271	89779	0	0	7194	0	0	0	5361	0	2342	0	0	13021	78740	0	0	0	0	0	0	0	1.12166666666667	4.114	0.462695571694586	125316.931333333	0.694333333333333	8.42625	15.27	Rep1	2020-08-31	10	0	0	-1.40955448713665	5.43446244477172	0	8	1.26164540233233	3.71160353899176	0	0	0	0	1.56914284854948	0.0289444444444442
Con_2020-09-28_0_Rep10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Rep10	2020-09-28	0	0	0	-1.35709602160563	2.33615468305341	0	0	3.05501739691349	4.1144697350355	0	0	0	0	0	0.0339444444444444
Inhib_2020-09-28_1_Rep10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294189	0	0	0	0	2.209	2.209	2.209	649863.501	2.209	7.55	7.55	Rep10	2020-09-28	1	1	0	-0.263116794060689	5.46980854197349	0	1	0	3.04402137385289	0	0	0	0	0	0.535611111111111
Inhib_2020-09-28_3_Rep10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40204	0	23741	9	9	5.6585503166784	361836	2.209	3.83033333333333	1.83951762191466	117627.954333333	1.62133333333333	6.08	7.55	Rep10	2020-09-28	3	1	1	-0.240877988829771	4.80854197349042	0.2959770018944	2	0	3.02925450777535	1	0.5	0.976864952268416	0.983347419162989	0.659629290050744	0.564277777777778
Inhib_2020-09-28_10_Rep10	1710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7473	2706	0	14213	0	140227	9	15.5	0.974478293021662	162084	2.209	4.61266666666666	2.0169599328239	335478.928666667	2.209	20.416	72.94	Rep10	2020-09-28	10	1	1	-0.421042602251628	5.22385861561119	0.13779072971834	5	0	2.48343649007777	3	0.6	0.373380035026269	0.376709163563215	0.60757392990776	0.369277777777778
Non_2020-09-28_3_Rep10	0	0	0	0	0	0	0	1038187	0	0	0	0	0	3979	0	0	0	0	0	0	0	0	0	168274	0	0	0	0	2.209	3.14733333333333	0.903420229283015	1093535.98233333	0.694333333333333	7.69666666666667	15.27	Rep10	2020-09-28	3	0	0	0.0147771381638538	6.08394698085419	0	3	0	1.56330040031687	0	0	0	0	0.424762800264845	1.02461111111111
