Main	Inhibitory	response	predictor	median	lower95	upper95	PD
(Intercept)	EffInhib	micro	CV	-1.20934558471266	-5.18234392038347	2.53773855938356	0.2644
(Intercept)	Inhib	micro	CV	-1.11609874540724	-4.88949009272983	2.53587423557036	0.2732
(Intercept)	Non	micro	CV	0.0929508033485227	-1.19578061052643	1.45233556080648	0.4423
CV_log10	EffInhib	micro	CV	-0.285991693217067	-3.38136668595148	2.65804578955036	0.4233
CV_log10	Inhib	micro	CV	-1.32476110222272	-4.25478459521012	1.51376417942172	0.1763
CV_log10	Non	micro	CV	-1.03871964606	-1.95409709408222	-0.0219751848687785	0.0191
(Intercept)	EffInhib	qpcr	CV	2.09555018060867	-0.55321879927527	4.78993574103789	0.06
(Intercept)	Inhib	qpcr	CV	3.96954939726676	1.20415191748969	6.41213391964934	0.0036
(Intercept)	Non	qpcr	CV	1.88003883667934	0.908076484209196	2.83044540616749	4e-04
CV_log10	EffInhib	qpcr	CV	2.25762560752907	0.184919371568911	4.34633104810161	0.02
CV_log10	Inhib	qpcr	CV	1.1965812609386	-0.775377771444664	3.24551586985955	0.113
CV_log10	Non	qpcr	CV	-1.04854194179691	-1.72368084973457	-0.343788268534224	0.0029
