Main	Inhibitory	response	predictor	median	lower95	upper95	PD
(Intercept)	EffInhib	micro	qpcr	-4.05595333036753	-8.51368490266024	0.999302703343688	0.0525
(Intercept)	Inhib	micro	qpcr	1.35572707766041	-2.47974583317181	5.22006981901359	0.2392
(Intercept)	Non	micro	qpcr	5.41749591039337	1.84243701773589	8.87685325045775	0.0031
qPCR_bact_log10	EffInhib	micro	qpcr	0.679800704527398	-0.595751151709316	1.97626318353239	0.1533
qPCR_bact_log10	Inhib	micro	qpcr	-0.232337487621804	-1.40764305570991	0.907530674530813	0.3404
qPCR_bact_log10	Non	micro	qpcr	-0.918910307151304	-1.6348081836255	-0.120936562655977	0.0112
(Intercept)	EffInhib	qpcr	qpcr	-5.62117642310305	-9.42180015471702	-2.0524150429155	0.0049
(Intercept)	Inhib	qpcr	qpcr	0.8111852460826	-1.93838866258388	3.94390609915595	0.2852
(Intercept)	Non	qpcr	qpcr	6.40587337142473	3.57468905954279	9.11187819062546	1e-04
qPCR_bact_log10	EffInhib	qpcr	qpcr	1.3298520503919	0.312479962196752	2.30597683556036	0.0106
qPCR_bact_log10	Inhib	qpcr	qpcr	0.58797783507301	-0.34218730563384	1.42419124337262	0.0932
qPCR_bact_log10	Non	qpcr	qpcr	-0.741695692287376	-1.29311077316856	-0.11881463789328	0.0121
