ASVID	avePercIdent_blast_alex	avePercIdent_blast_woodhams	Matched_AlexID
3bb0bf5132b0f988573de9bd6059b22c	98.828	99.605	BTB_28-27F_B09.ab1
d32e579b3ae7b2aae8d5bf9f027c29af	99.213	100	BTB_47-27F_D04.ab1
dd18c11c9ae50bd4f90b015e8c78de58	NA	NA	NA
bc56a7361c9a3b49f1f1c51874321e12	100	98.819	47C-27F_C08.ab1
4ea59d33f520370432fb7cb625b56c12	NA	NA	NA
6a42f6b31b1958a4fd7c015ad7affbf4	98.814	100	37H-27F_E04.ab1
a0a6a2bfc50e87cf99e385b7384f8019	NA	99.605	NA
bdf8a26094624622d68509a87fa75ba7	97.244	100	24D-27F_E05.ab1
4cec258429289d8463d0d5f42a7a4cad	NA	99.605	NA
1a536b0e1f97503816f150ed89839a0f	98.819	98.814	24D-27F_E05.ab1
fa0bfc5b671a0016df8fd1840f314bab	NA	99.605	NA
e61a7bc42a30f0ca4f170b5e3f6cad0c	98.431	100	20D-27F_E02.ab1
dcba105f35d8ebc9e22269c7491ad3a7	97.647	100	33B-27F_G11.ab1
fb67b286b0f781b0de13d50179318995	98.824	100	33B-27F_G11.ab1
43fddf1528d4a98928fd8c3a8ac23bfd	NA	100	NA
5648dccee530d68ceb3e4d7d22cf8756	97.287	100	BTB_59-27F_D07.ab1
d69e2e7690e0766c9832eafd079bc99c	NA	98.024	NA
5e5652fbc2332a8189559dec86869b7c	NA	99.451	NA
c30ea0ffd45e89a13edc0ab8fb15c2f6	NA	99.457	NA
ec2d6318d95da4328567972cc10eb066	NA	99.457	NA
44a162f21fda1420467bd353f5c67211	NA	97.233	NA
7f499b98f8da9b1f9b8d10791ea2db91	NA	99.451	NA
d5d20ebebb0eb375a078ec82b47a50ec	97.276	99.605	2F-27F_E05.ab1
b65fae1900c461356f7ec33239edf811	97.276	99.605	2F-27F_E05.ab1
14c6f745ca3896169903ea6ea03d48ac	NA	99.438	NA
5746145cd6809625dd78c312e6605cb4	NA	99.444	NA
52106e22009423eaaa64743e6cdfe659	NA	99.451	NA
9f10ad79c9fd3d0d6a7b41cae19cf1f4	NA	99.444	NA
f13bd5edd93cef613314f42915c99a6f	NA	99.444	NA
255429c75a0f47d5a30c6ac429fa7c34	97.238	99.441	32F-27F_G06.ab1
4ce0d715d312a473a37ab09124cf0f34	NA	99.444	NA
e97345e9d12e47c8712c8a693016d65e	NA	99.451	NA
033fc14444cc93f82f6464968d72c6b2	NA	99.444	NA
8e86630f5236d005b75249185d4e2d08	NA	99.454	NA
180843d213d81292129ca7501d19904c	97.276	99.605	2F-27F_E05.ab1
213f59ff91f42554a6570145dbeff3da	97.276	99.605	2F-27F_E05.ab1
93234676188a71a3d96809c07dfbec21	NA	98.419	NA
2615d9840911b76cdd3db2dd7817b53e	NA	99.438	NA
d4575b9e7e37002f0d041ea717fb8a06	NA	99.454	NA
f39b145cd0896489db3646d0d26bd418	NA	99.451	NA
ffcce969599b117e0566b6767fe78b55	NA	99.451	NA
922f741ee774d85fd38a26312d4e9dda	97.665	100	2F-27F_E05.ab1
43292d77db4e71f520bc2661f373b05f	NA	98.024	NA
f8aeec3c1ff0f4e7e1c829e4db0618d9	NA	100	NA
1bc599cac5647c5c30496e93ca551557	NA	100	NA
38c27ceaed634984c1225a82648cf571	NA	100	NA
8b9ede8e4455abbacd8d8d787eb6383d	97.233	99.209	54G-27F_B02.ab1
82dece6e35540738ba450a0c3a90b5a0	98.814	100	21C-27F_G07.ab1
3481fa43fe5fba6aecdc7f9aae6ed9c0	98.814	100	54G-27F_B02.ab1
63afe8e6aac58bf0d670a82ca5bc574c	99.605	100	54G-27F_B02.ab1
205d983fc6a77838d0c5f28ea5485c28	99.209	99.605	54G-27F_B02.ab1
4850a238b7fbbd5ffa204c5a5a396f2c	99.605	100	13C-27F_R_H02.ab1
945184b6386c192c0066e0a98a154780	NA	100	NA
